,ï»¿ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
424,,what is the name of the event that draws the worlds top riders to malaysia,kl grand prix csi 5,hard,hard,S10_set3_a3,Kuala_Lumpur
425,,what is james watt most famous for,steam engine,hard,too hard,S09_set4_a2,James_Watt
426,Abraham_Lincoln,when did lincoln begin his political career,1832,medium,easy,S08_set3_a4,
427,,how many years ago was it when he became the third in his family to occupy the physics chair at the musum national dhistoire naturelle,117,,hard,S09_set4_a9,Henri_Becquerel
428,,what family is the panda a part of,ursidae,medium,medium,S10_set1_a4,Giant_Panda
429,,what cello manufacturer should i buy from if i want to play outside,luis  clark,hard,hard,S09_set2_a9,Cello
430,Woodrow_Wilson,where was the league of nations created,paris,medium,medium,S08_set3_a8,
431,,was mission bay campus opened in 2003,yes,easy,easy,S10_set3_a8,San_Francisco
432,,who was his mentor,john mad jack fuller,medium,medium,S10_set4_a7,Michael_Faraday
433,,in which country is portuguese the coofficial language with cantonese chinese,portuguese is the coofficial language with cantonese chinese in macau,hard,medium,S10_set5_a1,Portuguese_language
434,,did he suffer from anxiety and increasingly frequent bouts of mental illness throughout his life and died largely unknown at the age of 37 from a selfinflicted gunshot wound,yes,,easy,S10_set6_a7,Vincent_van_Gogh
435,duck,what animal attracts the most humor and silliness,the duck,medium,medium,S08_set1_a10,
436,Theodore_Roosevelt,did roosevelt support racial integration in schools,yes,hard,too hard,S08_set3_a7,
437,Grover_Cleveland,what did clevelands opponents say in 1884 to counter his innocent image,that he had fathered an illegitimate child while he was a lawyer in buffalo,hard,hard,S08_set3_a6,
438,Canada,is canada a geographically vast and ethnically diverse country,yes,,easy,S08_set2_a8,
439,,is swahili a bantu language,yes,easy,easy,S10_set5_a4,Swahili_language
440,Canada,did france cede nearly all of its colonies in europe in 1763,yes,easy,easy,S08_set2_a8,
441,,what would a german call avogadros number,loschmidt number,hard,medium,S10_set4_a8,Amedeo_Avogadro
442,,does the octopus have a hard beak,yes the octopus has a hard beak,easy,easy,S10_set1_a10,Octopus
443,penguin,have penguins an average sense of hearing for birds,yes,,easy,S08_set1_a3,
444,,what are the two materials that bows are made of traditionally,traditionally bows are made from pernambuco or brazilwood,medium,medium,S09_set2_a9,Cello
445,,what are zebras hunted for,mainly for their skins,medium,medium,S10_set1_a9,Zebra
446,James_Monroe,what is the first number on the page,28,easy,too easy,S08_set3_a2,
447,,is amedeo avogadro italian,yes,hard,hard,S10_set4_a8,Amedeo_Avogadro
448,,what does the prc government classify as literacy amongst workers,knowledge of 2000 characters,hard,medium,S10_set5_a7,Chinese_language
449,otter,are otters very active,yes,,easy,S08_set1_a7,
450,Ghana,is english the official language,yes,easy,easy,S08_set2_a5,
451,,where french has a similar phenomenon with alveolar affricates instead of postalveolars,quebec,,medium,S10_set5_a1,Portuguese_language
452,,is the nauen plain north of berlin,no the nauen plain stretches to the west of berlin,easy,hard,S10_set3_a1,Berlin
453,,are there also a variety of regional languages in addition,yes,,medium,S09_set5_a5,French_language
454,,when was henri becquerel born,december 15 1852,,medium,S09_set4_a9,Henri_Becquerel
455,kangaroo,why do kangaroos have a wide bite,the two sides of the lower jaw are not joined together and the lower incisors are farther apart,hard,hard,S08_set1_a1,
456,,can some cylindrical shell drums have no drum heads,no,hard,hard,S10_set2_a4,Drum
457,,could blaise pascal move without crutches,no,easy,hard,S09_set4_a4,Blaise_Pascal
458,Egypt,does egypts foreign policy operates along moderate lines,yes,easy,easy,S08_set2_a6,
459,turtle,how do turtles reproduce,they lay eggs,hard,hard,S08_set1_a9,
460,Millard_Fillmore,was fillmore the first us president born after the death of a former president,yes,,easy,S08_set3_a3,
461,Canada,did cartier not use the word  canada  to refer to not only that village  but the entire area subject to donnacona  chief at stadacona,yes,,easy,S08_set2_a8,
462,,did henri becquerel intentionally discover radioactivity,he discovered it accidentally,hard,medium,S09_set4_a9,Henri_Becquerel
463,,when did netwon investigate the refraction of light,16701672,hard,hard,S09_set4_a1,Isaac_Newton
464,Calvin_Coolidge,what year did coolidge open his own law office,1898,medium,medium,S08_set3_a9,
465,Abraham_Lincoln,when did the gettysburg address argue that america was born,1776,hard,hard,S08_set3_a4,
466,,what are the smallest trumpets referred to as,piccolo trumpets,medium,medium,S10_set2_a3,Trumpet
467,,wasnt portuguese language spread by arriving roman soldiers,yes,,easy,S10_set5_a1,Portuguese_language
468,,how many siblings did faraday have,two,hard,hard,S10_set4_a7,Michael_Faraday
469,,are all spoken varieties of chinese tonal and analytical,yes,easy,easy,S10_set5_a7,Chinese_language
470,,when did the crime level become higher,after the october revolution,hard,easy,S10_set3_a10,Saint_Petersburg
471,,was the si unit of charge named after charlesaugustin de coulomb,yes,easy,easy,S10_set4_a6,Charles-Augustin_de_Coulomb
472,,is the red river delta traditionally poor,yes,hard,easy,S10_set5_a10,Vietnamese_language
473,,is santiago a name in spanish,yes,easy,medium,S09_set3_a6,Santiago
474,,does fender make cymbals,no,easy,hard,S10_set2_a6,Cymbal
475,Abraham_Lincoln,did lincoln win the election of 1860,yes,hard,hard,S08_set3_a4,
476,,who was born in newington butts near presentday south london england,michael faraday,,medium,S09_set4_a7,Michael_Faraday
477,,why does lewis use absolute case instead of nominative,because it is also used for the indefinite accusative,hard,hard,S10_set5_a8,Turkish_language
478,Anders_Celsius,was celsius born in uppsala in sweden,yes,,easy,S08_set4_a5,
479,,how many siblings did nikola tesla have,4,hard,hard,S10_set4_a3,Nikola_Tesla
480,Grover_Cleveland,was grover cleveland married in the whitehouse,yes,easy,easy,S08_set3_a6,
481,,were the citys other names petrograd  1914  1924 and leningrad  1924  1991,yes,,easy,S10_set3_a10,Saint_Petersburg
482,Millard_Fillmore,who or what fell in love with abigail powers,millard fillmore,,easy,S08_set3_a3,
483,,did alessandro volta die and retire in the same place,alessandro volta retired and died in the same place,hard,hard,S10_set4_a10,Alessandro_Volta
484,,what was michael faradays birthplace,newington butts,,hard,S09_set4_a7,Michael_Faraday
485,Canada,is canada a member of the oecd,yes,easy,easy,S08_set2_a8,
486,,what are the two main groups of portuguese dialects,those of brazil and those of the old world,medium,medium,S10_set5_a1,Portuguese_language
487,duck,what does the word duck mean,it is the common name for a number of species in the anatidae family of birds,hard,hard,S08_set1_a10,
488,turtle,name four related articles for the article on turtles,triassic ernst haeckel kunstformen der natur animal,medium,hard,S08_set1_a9,
489,Millard_Fillmore,what is the remarkable millard fillmore,in 2007 george pendle wrote the remarkable millard fillmore a fake biography based on real events that happened in fillmores life,medium,medium,S08_set3_a3,
490,,what greek mythical creatures were depicted holding cymbals,fauns and satyrs,hard,too hard,S09_set2_a6,Cymbal
491,leopard,what is a hybrid animal resulting from a union between a leopard and a puma,a pumapard,medium,medium,S08_set1_a2,
492,,when was the 7th symphony premiered,1942,,medium,S10_set3_a10,Saint_Petersburg
493,,where is jakarta located,northwest coast of java,medium,medium,S10_set3_a5,Jakarta
494,,does the charge reside on the interior of a charged conductor,no,hard,easy,S10_set4_a7,Michael_Faraday
495,,is the gdp  per capita in lima  7600    ref,yes,,easy,S09_set3_a4,Lima
496,,when was volta made a count by napoleon,volta was made a count by napoleon in 1810,,medium,S10_set4_a10,Alessandro_Volta
497,,james watt was born where,greenock a seaport on the firth of clyde,easy,medium,S09_set4_a2,James_Watt
498,,was charlesaugustin de coulomb a member of the national institute,yes,easy,easy,S09_set4_a6,Charles-Augustin_de_Coulomb
499,Canada,what is canadas national unemployment rate,while as of october 2007 canadas national unemployment rate of 59 is its lowest in 33 years provincial unemployment rates vary from a low of 36 in alberta to a high of 146 in newfoundland and labrador,medium,medium,S08_set2_a8,
500,otter,is an otter s den called a holt,yes,,easy,S08_set1_a7,
501,elephant,has tusklessness become a rare abnormality,no tusklessness has become a widespread hereditary trait,hard,hard,S08_set1_a5,
502,Ulysses_S._Grant,had he smoked only sporadically,yes,,easy,S08_set3_a5,
503,John_Adams,did john adams get along with alexander hamilton,no,hard,too hard,S08_set3_a1,
504,,what is panda diplomacy,loans of giant pandas to american and japanese zoos,hard,hard,S10_set1_a4,Giant_Panda
505,elephant,where was the largest elephant ever recorded shot,the largest elephant ever recorded was shot in angola in 1956,medium,medium,S08_set1_a5,
506,,is copenhagen completely surrounded with water,no,medium,hard,S09_set3_a8,Copenhagen
507,,what areas can giraffes inhabit,inhabit savannas grasslands or open woodlands,medium,easy,S09_set1_a5,Giraffe
508,Gray_Wolf,are a wolfs teeth its main weapons,yes,easy,easy,S08_set1_a6,
509,Egypt,is egypt the most populated country in africa,no,easy,easy,S08_set2_a6,
510,,what is avogadro most noted for,contributions to the theory of molarity and molecular weight,medium,medium,S09_set4_a8,Amedeo_Avogadro
511,polar_bear,how much weight do female polar bears gain during pregnancy,they gain double their weight,hard,medium,S08_set1_a4,
512,,how did civil wars affect england during the middle ages,london remained relatively untouched,hard,medium,S09_set3_a1,London
513,Qatar,what universities are in education city,carnegie mellon university georgetown university school of foreign service texas am university virginia commonwealth university and cornell university,hard,hard,S08_set2_a3,
514,Calvin_Coolidge,what fraternity was coolidge a member of,phi gamma delta,medium,medium,S08_set3_a9,
515,beetle,is there a thriving industry in the collection of beetle specimens for amateur and professional collectors,yes,,easy,S08_set1_a8,
516,,have many european languages borrowed numerous words from it,yes,,easy,S09_set5_a3,Arabic_language
517,,what is the second biggest factor affecting the sound produced by a drum,tension,medium,easy,S10_set2_a4,Drum
518,Millard_Fillmore,who was first apprenticed to a fuller to learn the clothmaking trade,millard fillmore,,easy,S08_set3_a3,
519,kangaroo,what is a roo,a kangaroo,hard,medium,S08_set1_a1,
520,Liechtenstein,the savings and loans bank was founded as was the first cottonweaving mill in what year,1861,,easy,S08_set2_a1,
521,,what are the oldest known musical instruments,a three holedflute made from a mammoth tusk and two flutes made from swans bones,hard,medium,S09_set2_a5,Flute
522,Gray_Wolf,are gray wolves native to north america,no current theory suggests that its from eurasia,hard,hard,S08_set1_a6,
523,,what was the dead or alive 4 fighting arena modeled after,a magnetic accelerator cannon station from halo 2,medium,medium,S09_set3_a2,Nassau
524,,when did the catholic university of eastern africa which obtain its letter of interim authority,in 1989,,medium,S10_set3_a9,Nairobi
525,,why are otters vulnerable to prey depletion,preydependency,medium,medium,S09_set1_a7,Otter
526,,what happens if a wing is removed,if a ring is removed the other three will grow to a larger size,hard,easy,S10_set1_a6,Butterfly
527,,did he become professor of experimental physics at the university of pavia,yes,,easy,S09_set4_a10,Alessandro_Volta
528,,what is the citys population,16 million,medium,medium,S10_set3_a3,Kuala_Lumpur
529,,what would a tiger do when seized by a crocodile,strike at the reptiles eyes with its paws,medium,medium,S09_set1_a3,Tiger
530,Singapore,what used singapore as a strategic trading post along the spice route,british,,easy,S08_set2_a2,
531,,has an octopus a hard beak with its mouth at the center point of the arms,yes,,easy,S10_set1_a10,Octopus
532,penguin,what is tobogganing,tobogganing is when penguins slide on their bellies across the snow,medium,hard,S08_set1_a3,
533,Grover_Cleveland,was cleveland s portrait on the us  1000 bill from 1928 to 1946,yes,,easy,S08_set3_a6,
534,,did volta marry before he became professor of experimental physics at the university of pavia,no,hard,medium,S10_set4_a10,Alessandro_Volta
535,penguin,are penguins birds,yes,easy,easy,S08_set1_a3,
536,polar_bear,what insulate it against the cold,its think blubber and fur,,medium,S08_set1_a4,
537,John_Adams,what is now part of adams national historical park,john adams birthplace,,medium,S08_set3_a1,
538,,when becquerel discovered radioactivity whose work did he investigate,wilhelm conrad röntgen,hard,hard,S10_set4_a9,Henri_Becquerel
539,Finland,in what year were the games of the xv olympiad held,1952,medium,medium,S08_set2_a4,
540,,when did protouralic language arrive in finland,protouralic language arrived in finland around 1900 bce,medium,medium,S10_set5_a5,Finnish_language
541,penguin,are penguins at risk,yes,,easy,S08_set1_a3,
542,Finland,which russian army general conquered finland in 1809,alexander i,medium,medium,S08_set2_a4,
543,,becquerel wrapped a fluorescent substance in what,photographic plates and black material,,medium,S09_set4_a9,Henri_Becquerel
544,,where did tesla study electrical engineering,the austrian polytechnic in graz,hard,medium,S09_set4_a3,Nikola_Tesla
545,Canada,what arrived in britain,the first canadian army units in ww ii,,easy,S08_set2_a8,
546,James_Monroe,what is monroes fathers name,spence monroe,medium,medium,S08_set3_a2,
547,,was newton admitted into havard college,no,easy,easy,S09_set4_a1,Isaac_Newton
548,Woodrow_Wilson,did wilson not spend 1914 through the beginning of 1917 trying to keep america out of the war in europe,yes,,easy,S08_set3_a8,
549,duck,are ducks in the arctic northern hemisphere migratory,some are,easy,medium,S08_set1_a10,
550,beetle,are many beetles territorial,yes,,easy,S08_set1_a8,
551,,what is the population of the city of antwerp,antwerps population is 472071,medium,medium,S10_set3_a4,Antwerp
552,,what is the color of the australian black swan,completely black except for the white feathers on its wings,hard,medium,S09_set1_a10,Swan
553,,how does the government of the peoples republic of china often refer to all divisions of the sinitic languages besides standard mandarin,the prc commonly refers to all divisons of the sinitic languages beside standard mandarin as fangyan or regional tongues,medium,hard,S10_set5_a7,Chinese_language
554,,is the violin shaped like an hourglass,yes,easy,easy,S10_set2_a2,Violin
555,Singapore,did singapores standard of living decrease since independence,no,easy,easy,S08_set2_a2,
556,,was alessandro volta a professor of chemistry,no,easy,hard,S10_set4_a10,Alessandro_Volta
557,,is jakarta the 12th largest city in the world,yes,easy,medium,S10_set3_a5,Jakarta
558,Qatar,where is qatars telecommunication system centered,doha,medium,medium,S08_set2_a3,
559,,the xylophone is an instrument from what family,percussion,medium,medium,S10_set2_a8,Xylophone
560,,is the tiger a member of the felidar family,no,easy,easy,S09_set1_a3,Tiger
561,Uruguay,is uruguay a member of the cairns group of exporters of agricultural products,yes,,easy,S08_set2_a9,
562,,james watts improvements of what were fundamental to the changes wrought by the industrial revolution,the steam engine,easy,medium,S09_set4_a2,James_Watt
563,,what is the basic word order in malay,subject verb object,medium,medium,S10_set5_a2,Malay_language
564,,are among his most famous works the protocubist les demoiselles davignon 1907 and guernica 1937 his portrayal of the german bombing of guernica during the spanish civil war,yes,,easy,S10_set6_a1,Pablo_Picasso
565,,is catalan the only  official  language  of andorra,yes,,easy,S09_set5_a5,French_language
566,Ghana,how many regions is ghana divided into,10,medium,easy,S08_set2_a5,
567,,what is the faraday effect,the faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving,medium,too hard,S10_set4_a7,Michael_Faraday
568,,why are upright pianos more compact,upright pianos are more compact because the frame and strings are vertical,hard,easy,S10_set2_a1,Piano
569,Liechtenstein,what is the official language of liechtenstein,german,medium,medium,S08_set2_a1,
570,,does a violin have four strings,yes,easy,easy,S10_set2_a2,Violin
571,,what city in the uk has been subjected to bouts of terrorism,london has been subjected to bouts of terrorism,hard,hard,S09_set3_a1,London
572,Theodore_Roosevelt,was thedore roosevelt  a member of the republican party,yes,easy,easy,S08_set3_a7,
573,,is the aburukuwa a type of drum,yes,easy,medium,S10_set2_a4,Drum
574,,what was made in russias largest foundry,thousands of sculptures and statues,hard,medium,S10_set3_a10,Saint_Petersburg
575,,where did watt attend university,watt did not attend school regularly,hard,too hard,S10_set4_a2,James_Watt
576,Uruguay,what religions are found in uruguay,roman catholic protestant jewish and nonprofessing,medium,hard,S08_set2_a9,
577,James_Monroe,what did james monroe do before being elected governor,he practiced law,hard,hard,S08_set3_a2,
578,Romania,is romania a secular state,yes,easy,easy,S08_set2_a7,
579,,is jakarta the countrys economic cultural and political center,yes,,easy,S10_set3_a5,Jakarta
580,Gerald_Ford,had fords wife married before,yes,hard,hard,S08_set3_a10,
581,,when did watt retire,in 1800,medium,medium,S10_set4_a2,James_Watt
582,Finland,today are there more cell phone subscriptions than people in finland,yes,hard,too hard,S08_set2_a4,
583,James_Monroe,was monroe anticlerical,no,,easy,S08_set3_a2,
584,,was faraday considered a gentleman,no,easy,easy,S09_set4_a7,Michael_Faraday
585,Abraham_Lincoln,why did lincoln issue the emancipation proclamation,to free slaves,hard,hard,S08_set3_a4,
586,elephant,is an asian elephant smaller than an african elephant,yes,hard,easy,S08_set1_a5,
587,Egypt,when were the great sphinx and the pyramids of giza built,during the old kingdom,medium,medium,S08_set2_a6,
588,duck,what makes it more difficult for a diving duck to fly,they are heavier,hard,hard,S08_set1_a10,
589,Ulysses_S._Grant,did grant  perkins not sell harnesses  saddles  and other leather goods and purchase hides from farmers in the prosperous galena area,they did,,easy,S08_set3_a5,
590,elephant,how many living species of african elephants are there,2,medium,hard,S08_set1_a5,
591,,is the lyre a stringed musical instrument,yes,easy,easy,S10_set2_a10,Lyre
592,Singapore,has sang nila utama visited singapore,yes,easy,easy,S08_set2_a2,
593,,what makes san francisco among the topten north american destinations for conventions and conferences,a large hotel infrastructure and a worldclass convention facility in the moscone center,medium,medium,S10_set3_a8,San_Francisco
594,Theodore_Roosevelt,what was the nickname of theodore roosevelts sister anna,bamie,hard,medium,S08_set3_a7,
595,,how does swedish language counterbalance the absence of cases,the lack of cases in swedish is compensated by a wide variety of prepositions,hard,hard,S10_set5_a9,Swedish_language
596,Finland,what body of water lies to the south of finland,the gulf of finland,hard,hard,S08_set2_a4,
597,,the trumpet can be confused with what close relative,the coronet,medium,medium,S10_set2_a3,Trumpet
598,,what trumpet was the first to be allowed in the christian church,slide trumpets,medium,medium,S10_set2_a3,Trumpet
599,,his passion been always the study of what,electricity,,easy,S09_set4_a10,Alessandro_Volta
600,beetle,which type of beetle is a pest of potato plants,colorado potato beetle,medium,medium,S08_set1_a8,
601,,is the most important river the ciliwung river,yes,easy,easy,S10_set3_a5,Jakarta
602,Romania,does romania border hungary,yes,easy,medium,S08_set2_a7,
603,,why did bequerel win the nobel prize in physics,was the discoverer of radioactivity,hard,hard,S10_set4_a9,Henri_Becquerel
604,,was charlesaugustin de coulomb ever employed at la rochelle,yes upon his return to france with the rank of captain he was employed at la rochelle,easy,easy,S10_set4_a6,Charles-Augustin_de_Coulomb
605,,is turtle soup considered a delicacy,no,hard,easy,S09_set1_a4,Turtle
606,,whad did celsius report in his paper observations of two persistent degrees on a thermometer,the freezing point is independent of latitude,medium,medium,S09_set4_a5,Anders_Celsius
607,,who features violinist boyd tinsley,dave matthews band features violinist boyd tinsley,,medium,S10_set2_a2,Violin
608,Finland,is matti vanhanen the prime minister of finland,yes,easy,easy,S08_set2_a4,
609,otter,why is the giant otter becoming increasingly rare,poaching habitat loss and toxins in gold mining,medium,hard,S08_set1_a7,
610,,which two sports events did the olympiastadion host,the olympiastadion hosted the 1936 summer olympics and the 2006 fifa world cup final,medium,medium,S10_set3_a1,Berlin
611,James_Monroe,what happened in 1811,monroe returned to the virginia house of delegates and was elected to another term as governor of virginia,,easy,S08_set3_a2,
612,,was paul jackson pollock an influential american painter as well as a major figure in the abstract expressionist movement,yes pollock was an influential american painter and a major figure in the abstract expressionist movement,,easy,S10_set6_a9,Jackson_Pollock
613,John_Adams,was adams the first to introduce a bicameral legislature,yes,hard,too hard,S08_set3_a1,
614,,was charlesaugustin de coulomb a spanish biologist,no he was a french physicist,easy,easy,S10_set4_a6,Charles-Augustin_de_Coulomb
615,,is avogadro s  number commonly used to compute  the results  of chemical reactions,yes,,easy,S09_set4_a8,Amedeo_Avogadro
616,,what two instruments form the modern drum kit,the cymbals and the drum,hard,hard,S09_set2_a6,Cymbal
617,elephant,are elephants the largest land animals alive today,yes,easy,easy,S08_set1_a5,
618,,when did the soviet military forces occupy estonia,in 1944,hard,hard,S10_set5_a9,Swedish_language
619,,what did alessandro volta invent in 1800,in 1800 alessandro volta invented the voltaic pile,medium,easy,S10_set4_a10,Alessandro_Volta
620,elephant,how many living species of african elephants are there,the african elephant genus contains two or arguably three living species,medium,medium,S08_set1_a5,
621,,what was one of the results of the introduction of the new turkish alphabet,a dramatic increase in literacy from third world levels,hard,hard,S10_set5_a8,Turkish_language
622,polar_bear,are cubs born in december without awakening the mother,yes,,easy,S08_set1_a4,
623,penguin,who spend half of their life on land and half in the oceans,penguins,,medium,S08_set1_a3,
624,polar_bear,what do fossil and dna evidence tell us,the polar bear diverged from the brown bear about 200 thousand years ago,hard,medium,S08_set1_a4,
625,penguin,is it also possible that penguin comes from the latin pinguis  fat,yes,,easy,S08_set1_a3,
626,,was he professor at uppsala university,yes,,easy,S09_set4_a5,Anders_Celsius
627,,in what country did fox hunting originate,the united kingdom,medium,medium,S09_set1_a6,Fox
628,,in turkish which syllable usually has the stress,stress is usually on the last syllable,easy,easy,S10_set5_a8,Turkish_language
629,Ulysses_S._Grant,is the famous dragon gate at the entrance to the district at the corner of grant and bush street,yes,,easy,S08_set3_a5,
630,,what is ottawas junior ice hockey team,the ottawa 67s,medium,medium,S09_set3_a5,Ottawa
631,Qatar,was qatar university founded in 1973,yes,,easy,S08_set2_a3,
632,beetle,do carrion beetles eat dung,no,hard,medium,S08_set1_a8,
633,,what have clash cymbals traditionally been accompanied by,the bass drum playing an identical part,medium,easy,S09_set2_a6,Cymbal
634,,what is the earliest extant transverse flute,chi,easy,easy,S10_set2_a5,Flute
635,Singapore,what is the national language of singapore,the national language of singapore is malay,easy,medium,S08_set2_a2,
636,Romania,what is the official language of romania,romanian,medium,medium,S08_set2_a7,
637,,how many species of true eels are there,there are approximately 800 species of true eels,medium,medium,S10_set1_a8,Eel
638,,based on the average in what year will the next small tremor occur in ottawa,2009,hard,hard,S09_set3_a5,Ottawa
639,,how do rock and roll drummers like their drumheads,drums that sound loud and deep,hard,hard,S10_set2_a4,Drum
640,,who created monas park,general herman willem deandels,medium,medium,S10_set3_a5,Jakarta
641,Uruguay,who founded montevideo,the spanish,medium,hard,S08_set2_a9,
642,,do mikrolets travel on the main roads,no,hard,easy,S10_set3_a5,Jakarta
643,,what happened in 1785,coulomb presented his three reports on electricity and magnetism,,easy,S10_set4_a6,Charles-Augustin_de_Coulomb
644,,does a classical lyre have a hollow body,yes,easy,easy,S10_set2_a10,Lyre
645,,what are the patterns of vowel harmony,vowels are characterised by two features frontback and roundedunrounded,hard,easy,S10_set5_a8,Turkish_language
646,Canada,what percentage of the population dont speak english or french at home,15,hard,hard,S08_set2_a8,
647,Nikola_Tesla,are there at least two films describing tesla s life,yes,,easy,S08_set4_a3,
648,,are ants used in cuisine,yes,easy,easy,S10_set1_a1,Ant
649,otter,how do otters keep themselves warm without blubber,a layer of air trapped in their fur,hard,hard,S08_set1_a7,
650,,is the flute a musical instrument,yes,easy,easy,S09_set2_a5,Flute
651,Singapore,what is the mrt,one of three heavy rail passenger transport lines in singapore,medium,medium,S08_set2_a2,
652,,is it not also one of the two official languages of the yanbian korean autonomous prefecture in china,yes,,easy,S10_set5_a6,Korean_language
653,beetle,what are prey of various animals including birds and mammals,beetles,,easy,S08_set1_a8,
654,beetle,which type of beetle is a pest of potato plants,colorado potato beetle,medium,easy,S08_set1_a8,
655,kangaroo,are kangaroos and wallabies adept swimmers,yes,,easy,S08_set1_a1,
656,,where does the word violin come from,the middle latin word vitula meaning stringed instrument,medium,medium,S09_set2_a2,Violin
657,polar_bear,what is largest polar bear on record,2200 lb,medium,medium,S08_set1_a4,
658,Amedeo_Avogadro,what happened in 1833,blah blah blah,,hard,S08_set4_a8,
659,,can speakers of modern malay understand old malay,no,hard,hard,S10_set5_a2,Malay_language
660,,where do giant pandas live,a few mountain ranges in central china,medium,medium,S10_set1_a4,Giant_Panda
661,Theodore_Roosevelt,who helped to fund roosevelts african safari,financed by andrew carnegie and his own proposed writings,hard,hard,S08_set3_a7,
662,duck,do ducks forage underwater,yes,easy,easy,S08_set1_a10,
663,,what happened in 1980s,the use of traditional nonsynthesized orchestras declined,,hard,S10_set2_a2,Violin
664,,does san francisco have a high percentage of gay and lesbian individuals,yes,easy,easy,S10_set3_a8,San_Francisco
665,,do scutes fall away from the turtles shell,yes eventually,easy,easy,S09_set1_a4,Turtle
666,duck,what economic uses to ducks have,they are farmed for their meat eggs and feathers they are also kept and bred by aviculturists and often displayed in zoos,medium,medium,S08_set1_a10,
667,,how long does it take for the panda cubs skin to turn gray,one to two weeks,medium,medium,S10_set1_a4,Giant_Panda
668,Ulysses_S._Grant,why did grant say damn i had nothing to do with this batte,it went well,hard,hard,S08_set3_a5,
669,John_Adams,who was on the committee with adams to draft  a declaration of independence,thomas jefferson benjamin franklin robert r livingston and roger sherman,medium,medium,S08_set3_a1,
670,elephant,what land animal is larger than an elephant,none the elephant is the largest land animal,hard,hard,S08_set1_a5,
671,,was his father   henri  coulomb  inspector of the royal  fields  in montpellier,yes,,easy,S09_set4_a6,Charles-Augustin_de_Coulomb
672,,did eucalypt forests grow in the place of rainforests,yes the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests,,easy,S10_set1_a3,Koala
673,,is the spelling of turkish phonetic,yes turkish now has an alphabet suited to the sounds of the language the spelling is largely phonetic with one letter corresponding to each phoneme,easy,easy,S10_set5_a8,Turkish_language
674,,was alessandro volta taught in public schools,volta was taught in public schools,easy,easy,S10_set4_a10,Alessandro_Volta
675,,what position is used to play the cello,seated,medium,medium,S09_set2_a9,Cello
676,kangaroo,where do joeys complete postnatal development,a pouch called a marsupium,medium,medium,S08_set1_a1,
677,,did the modern hihat evolve from clash cymbals,yes,easy,easy,S09_set2_a6,Cymbal
678,Gray_Wolf,what is surplus killing,the killing of several prey animals too numerous to eat at one sitting,hard,easy,S08_set1_a6,
679,Canada,did mainland nova scotia not come under british rule with the treaty of utrecht,no,,easy,S08_set2_a8,
680,,he published a collection of what,observations,,medium,S09_set4_a5,Anders_Celsius
681,Millard_Fillmore,he founded the private university of buffalo on what date,1846,,easy,S08_set3_a3,
682,,where is the park of the reserve located,near the downtown area,medium,medium,S09_set3_a4,Lima
683,,is golden gate park the largest city park,yes,easy,medium,S10_set3_a8,San_Francisco
684,Romania,how many countries in europe are bigger than romania,eleven,hard,hard,S08_set2_a7,
685,,which guitars use three singlecoil pickups,fender statocaster type guitars,hard,medium,S10_set2_a7,Guitar
686,Gerald_Ford,for how long was ford a member of the house of representatives,ford served for over eight years as the republican minority leader of the united states house of representatives,medium,medium,S08_set3_a10,
687,Liechtenstein,what is the national currency of liechtenstein,swiss franc,medium,medium,S08_set2_a1,
688,John_Adams,was adams an opponent of the stamp act,yes,easy,easy,S08_set3_a1,
689,Grover_Cleveland,what did cleveland die from,a heart attack,medium,medium,S08_set3_a6,
690,,when does a flute produce sound,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,easy,medium,S10_set2_a5,Flute
691,,when becquerel discovered radioactivity whose work did he investigate,wilhelm conrad rãntgen,hard,hard,S10_set4_a9,Henri_Becquerel
692,,which ballet by pyotr tchaikovsky is partially based on an ancient german legend about a princess who was turned into a swan,swan lake,hard,hard,S09_set1_a10,Swan
693,polar_bear,why polar bear is a special species,the world conservation union listed polar bears as a vulnerable species one of three subcategories of threatened status in may 2006 their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced,hard,too hard,S08_set1_a4,
694,,is the national university of san marcos in lima,yes,hard,hard,S09_set3_a4,Lima
695,Singapore,what became one of the most important commercial and military centres of the british empire,singapore,,medium,S08_set2_a2,
696,penguin,what have become flippers useless for flight in the air,penguins wings,,medium,S08_set1_a3,
697,Gerald_Ford,was ford active about vietnamese affairs,no,,,,
698,duck,is foie gras often made from ducks,yes,easy,easy,S08_set1_a10,
699,Gray_Wolf,do wolves leave their pack,they leave their birth pack when they reach sexual maturity,easy,medium,S08_set1_a6,
700,,how many arms does an octopus have,the octopus has four pairs of arms,medium,easy,S10_set1_a10,Octopus
701,Canada,what is the largest country in the world,russia,hard,hard,S08_set2_a8,
702,turtle,are immature sea turtles not cared for by the adults,yes,,medium,S08_set1_a9,
703,,wasnt malay language written using pallava,yes,,easy,S10_set5_a2,Malay_language
704,Ghana,what does the word ghana mean,warrior king,medium,medium,S08_set2_a5,
