ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
540,,when does a flute produce sound,when a stream of air directed across a hole in the instrument creats a vibration of air at the hole,easy,hard,S10_set2_a5,Flute
541,,are indian concert flutes available in standard pitches,yes,easy,easy,S09_set2_a5,Flute
542,,can turtles spend all their time underwater,no,hard,easy,S09_set1_a9,Turtle
543,,what were the strings of a classical lyre made of,gut,medium,hard,S10_set2_a10,Lyre
544,,is fifty percent or more of korean vocabulary of chinese origin,yes,easy,easy,S10_set5_a7,Chinese_language
545,,do many such drums have six to ten tension rods,yes,,easy,S10_set2_a4,Drum
546,turtle,what suborder of turtles is extinct,paracryptodira,medium,medium,S08_set1_a9,
547,kangaroo,what is the average life expectancy of a kangaroo,4 to 6 years,medium,hard,S08_set1_a1,
548,,how many parts of speech does the korean language contain,the korean language contains nine parts of speech,easy,too easy,S10_set5_a6,Korean_language
549,,is it a disadvantage for something to be unsafe to handle,yes,hard,too hard,S09_set4_a10,Alessandro_Volta
550,,his passion been always the study of what,electricity,,easy,S09_set4_a10,Alessandro_Volta
551,Uruguay,what are the names of uruguays political parties,partido blanco and partido colorado,hard,hard,S08_set2_a9,
552,,where are turtle eggs layed,on land,hard,easy,S09_set1_a4,Turtle
553,,what is the si unit for radioactivity called,becquerel,medium,medium,S10_set4_a9,Henri_Becquerel
554,duck,what economic uses to ducks have,they are farmed for their meat eggs and feathers they are also kept and bred by aviculturists and often displayed in zoos,medium,medium,S08_set1_a10,
555,,who spent the next 10 years painting for look magazine,norman rockwell,,hard,S10_set6_a4,Norman_Rockwell
556,,what is the mean level of mercury in american lobsters,031 ppm,medium,medium,S10_set1_a5,Lobster
557,,why are harp guitars difficult to classify,as there are many variations within this type of guitar,hard,medium,S10_set2_a7,Guitar
558,elephant,what did aristotle say about elephants,aristotle once said the elephant was the beast which pass08_seth all others in wit and mind,hard,medium,S08_set1_a5,
559,,are most eels predators,yes most eels are predators,easy,easy,S10_set1_a8,Eel
560,Theodore_Roosevelt,who helped to fund roosevelts african safari,financed by andrew carnegie and his own proposed writings,hard,hard,S08_set3_a7,
561,,is the cello a stringed instrument,yes,easy,easy,S09_set2_a9,Cello
562,Woodrow_Wilson,what caused wilson to ask congress to declare war on the central powers,world war i,hard,too hard,S08_set3_a8,
563,,was henri becquerel first in his family to occupy the physics chair at the museum national dhistoire naturelle,no,hard,easy,S09_set4_a9,Henri_Becquerel
564,Singapore,is singapore lrb     rrb  officially the republic of singapore lrb     rrb  an island nation located at the southern tip of the malay peninsula,yes,,easy,S08_set2_a2,
565,turtle,are pleurodira known as sidenecked turtles,yes,easy,easy,S08_set1_a9,
566,Finland,what body of water lies to the south of finland,archipelago sea,hard,hard,S08_set2_a4,
567,polar_bear,a semiaquatic marine mammal  the polar bear has what,it has adapted for life on a combination of land sea and ice,,medium,S08_set1_a4,
568,,what are the most common cymbals,hihats crash splash ride and china,medium,easy,S09_set2_a6,Cymbal
569,,about how many people are estimated to live in nairobi,3 million,hard,hard,S10_set3_a9,Nairobi
570,Henri_Becquerel,who won the 1903 nobel prize in physics for discovering radioactivity,henri becquerel,,medium,S08_set4_a9,
571,,does melbourne have a large international student community,yes,easy,easy,S10_set3_a2,Melbourne
572,,how did vespoid wasps evolve,from predatory ancestors,hard,medium,S09_set1_a8,Bee
573,,are there 622650 speakers of german in canada,yes,,easy,S09_set5_a2,German_language
574,,how many parts of speech are there in malay,four,medium,easy,S10_set5_a2,Malay_language
575,,what is the most common romanization standard for standard mandarin today,hanyu pinyin,medium,medium,S10_set5_a7,Chinese_language
576,Romania,is it true that romania has a population of 21698181,yes,,easy,S08_set2_a7,
577,,what are some of the cougars primary food sources,ungulates such as deer elk and bighorn sheep as well as domestic cattle horses and sheep,medium,medium,S10_set1_a2,Cougar
578,John_Adams,was adams an opponent of the stamp act,yes,easy,easy,S08_set3_a1,
579,,what was the faraday effect first called,diamagnetism,hard,hard,S09_set4_a7,Michael_Faraday
580,kangaroo,what method is used by kangaroos to travel,hopping,hard,medium,S08_set1_a1,
581,penguin,is the largest living species the emperor penguin lrb aptenodytes forsteri rrb,yes,,easy,S08_set1_a3,
582,Uruguay,is uruguay very common,no,,easy,S08_set2_a9,
583,,what is the caridoid escape reaction,swimming backwards quickly by curling and uncurling their abdomen,hard,hard,S10_set1_a5,Lobster
584,,institution formed the foundation of what,modern electromagnetic technology,,medium,S09_set4_a7,Michael_Faraday
585,,is rainfall very low,yes,,easy,S09_set3_a4,Lima
586,polar_bear,is the polar bear the mascot of bowdoin college,yes,,easy,S08_set1_a4,
587,Uruguay,what has uruguay done to be competitive in agriculture,use low inputs of labour technology and capital which results in lower yields but also opens the door for uruguay to market its products as natural or ecological,hard,too hard,S08_set2_a9,
588,,what are the two main varieties of indian flutes,the first the bansuri the second the venu or pullanguzhal,hard,hard,S10_set2_a5,Flute
589,Egypt,during what period was akhenaten a pharaoh,the new kingdom c155087221070 bc,hard,hard,S08_set2_a6,
590,James_Monroe,where was james monroe shot,at the battle of trenton in his left shoulder,medium,medium,S08_set3_a2,
591,,becquerel wrapped a fluorescent substance in what,photographic plates and black material,,medium,S09_set4_a9,Henri_Becquerel
592,beetle,is there a thriving industry in the collection of beetle specimens for amateur and professional collectors,yes,,easy,S08_set1_a8,
593,,what is a trumpet constructed of,brass tubing,medium,medium,S10_set2_a3,Trumpet
594,,was the si  unit  of charge  the  coulomb  named after him,yes,,easy,S09_set4_a6,Charles-Augustin_de_Coulomb
595,,was blaise pascal a mathematician of the first order,yes,easy,easy,S09_set4_a4,Blaise_Pascal
596,Singapore,what is the national language of singapore,the national language of singapore is malay,easy,medium,S08_set2_a2,
597,,who manages candlestick point,california state park system,medium,medium,S10_set3_a8,San_Francisco
598,,have managed populations of european honey bees experienced substantial declines,yes,easy,easy,S09_set1_a8,Bee
599,,is it advantageous for a grand pianos metal plate to be quite massive,it is advantageous for the plate to be quite massive,easy,easy,S10_set2_a1,Piano
600,,how many strings does a guitar typically have,six,medium,medium,S10_set2_a7,Guitar
601,,did faraday discover diamagnetism,yes,hard,easy,S10_set4_a7,Michael_Faraday
602,,how many tones do northern varieties have,northern vietnamese has six tones,medium,medium,S10_set5_a10,Vietnamese_language
603,Grover_Cleveland,where was grover cleveland married,in the blue room in the white house,medium,medium,S08_set3_a6,
604,,the only consolidated citycounty in california does it encompass a land area of on the northern end of the san francisco peninsula making it the second most densely populated city in the united states,san francisco,,hard,S10_set3_a8,San_Francisco
605,Uruguay,why was the capital of uruguay founded,for a military stronghold,hard,medium,S08_set2_a9,
606,,was nikola tesla a vegetarian,yes,hard,easy,S10_set4_a3,Nikola_Tesla
607,,what is the battery made by alessandro volta credited as,the first electrochemical cell,medium,medium,S10_set4_a10,Alessandro_Volta
608,,what makes a trumpet fully chromatic,able to play all twelve pitches of western music,hard,easy,S10_set2_a3,Trumpet
609,Uruguay,how many square kilometres of continental land is uruguay,176215 kmï½ï½,medium,medium,S08_set2_a9,
610,,what book defined the official finnish language,the dictionary of contemporary finnish defined the official finnish language,hard,hard,S10_set5_a5,Finnish_language
611,Ulysses_S._Grant,who took a hard line that reduced violence by groups like the ku klux klan,grant,,too easy,S08_set3_a5,
612,,where do the majority of loanwords other than sinokorean come from,modern times 90 of which are from english,hard,hard,S10_set5_a6,Korean_language
613,,was faraday considered a gentleman,no,easy,easy,S09_set4_a7,Michael_Faraday
614,,did henri becquerel live to be 80 years old,no,,medium,S09_set4_a9,Henri_Becquerel
615,,what religion did isaac newton follow,unorthodox christian,hard,medium,S10_set4_a1,Isaac_Newton
616,Henri_Becquerel,what happened in 1896,becquerel accidentally discovered radioactivity,,hard,S08_set4_a9,
617,,do males use a specialized arm called a hectocotylus to insert spermatophores,yes,,easy,S10_set1_a10,Octopus
618,,what transnational bridge was completed in 2000,oresund bridge,easy,medium,S09_set3_a8,Copenhagen
619,turtle,are turtles ectothermic,yes,,easy,S08_set1_a9,
620,James_Watt,four years after opening his shop  watt began what,watt began to experiment with steam after his friend professor john robison called his attention to it,,medium,S08_set4_a2,
621,,how can a flutes volume be increased,a flutes volume can be increased by making its resonator and tone holes larger,medium,medium,S10_set2_a5,Flute
622,Liechtenstein,what countries border liechtenstein,switzerland and austria,hard,medium,S08_set2_a1,
623,Qatar,what bordered by saudi,qatar,,medium,S08_set2_a3,
624,,has the dragon historically served as chinas national emblem,yes,easy,easy,S10_set1_a4,Giant_Panda
625,,from what type of cymbals can a expert player obtain an enormous dynamic range,an expert player can obtain an enormous dynamic range from crash cymbals,hard,hard,S09_set2_a6,Cymbal
626,Indonesia,in what year did east timor secede from indonesia,1999,medium,medium,S08_set2_a10,
627,otter,is otter a kind of mammal,yes,easy,easy,S08_set1_a7,
628,Abraham_Lincoln,was abraham lincoln the first president of the united states,no,easy,easy,S08_set3_a4,
629,,what is the definition of the electrostatic force of attraction and repulsion,coulombs law is the definition of the electrostatic force of attraction and repulsion,hard,medium,S09_set4_a6,Charles-Augustin_de_Coulomb
630,kangaroo,what are four species that are commonly referred to as kangaroos,the red kangaroo the eastern grey kangaroo the western grey kangaroo and the antilopine kangaroo,,too hard,S08_set1_a1,
631,Uruguay,how do india and latin america relate,uruguay exports architectural services to india and latin america,,hard,S08_set2_a9,
632,,when did lombardy come under napoleons rule,from 1796 to 1815,,easy,S09_set4_a10,Alessandro_Volta
633,,what is a person that makes or repairs violins called,a luthier or simply a violin maker,hard,medium,S10_set2_a2,Violin
634,Uruguay,what has uruguay done to be competitive in agriculture,labeling as natural or ecological,hard,too hard,S08_set2_a9,
635,,how many swedish speakers were reported in canada in 2001,there are 16915 reported swedish speakers in canada,medium,medium,S10_set5_a9,Swedish_language
636,Woodrow_Wilson,where was woodrow wilson born,woodrow wilson was born in staunton virginia,medium,medium,S08_set3_a8,
637,Liechtenstein,was liechtenstein part of the ancient roman province of raetia,yes,easy,easy,S08_set2_a1,
638,,how long does it take for the panda cubs skin to turn gray,one to two weeks,medium,medium,S10_set1_a4,Giant_Panda
639,Canada,what percentage of the population dont speak english or french at home,15,hard,hard,S08_set2_a8,
640,penguin,do penguins feed on krill,yes,easy,easy,S08_set1_a3,
641,Uruguay,is it a constitutional democracy  where the president fulfills the roles of both head of state and head of government,yes,,easy,S08_set2_a9,
642,,when was lima founded,january 181535,medium,medium,S09_set3_a4,Lima
643,,what was one of the results of the introduction of the new turkish alphabet,there was a dramatic increase in literacy from its original third world levels,hard,medium,S10_set5_a8,Turkish_language
644,,is there a monument to tesla at niagara falls new york,yes,easy,easy,S10_set4_a3,Nikola_Tesla
645,,give an example of the most prominent cities in africa politically and financially,nairobi is now one of the most prominent cities in africa politically and financially,,medium,S10_set3_a9,Nairobi
646,Canada,what is canadas national unemployment rate,while as of october 2007 canadas national unemployment rate of 59 is its lowest in 33 years provincial unemployment rates vary from a low of 36 in alberta to a high of 146 in newfoundland and labrador,medium,medium,S08_set2_a8,
647,,does montreal contain the largest church in canada,yes montreal contains the largest church in canada,hard,medium,S10_set3_a7,Montreal
648,,do drums consist of at least one membrane called a drumhead or drum skin that is stretched over a shell and struck either directly with parts of a players body or with some sort of implement such as a drumstick to produce sound,yes,,easy,S10_set2_a4,Drum
649,Uruguay,does uruguay have cold summers,no,easy,easy,S08_set2_a9,
650,,who was a member of the sandemanian sect of christianity,faraday,medium,medium,S09_set4_a7,Michael_Faraday
651,,what is caching food,burying it for later consumption,hard,hard,S09_set1_a6,Fox
652,otter,are otters very active,yes,,easy,S08_set1_a7,
653,,how many townships are in ottawa,eleven,medium,easy,S09_set3_a5,Ottawa
654,,how do rock and roll drummers like their drumheads,rock and roll drummer may prefer drums that sound loud and deep,hard,hard,S10_set2_a4,Drum
655,,what are violins made of,different types of wood,hard,medium,S09_set2_a2,Violin
656,duck,what allows a duck to filter water out of the side of their beaks and keep food inside,tiny rows of plates called lamellae,hard,hard,S08_set1_a10,
657,Calvin_Coolidge,which state were coolidge born in,plymouth windsor county vermont,medium,medium,S08_set3_a9,
658,,what is the second main orchestral use of cymbals,the suspended cymbal is the second main orchestral use of symbals,medium,medium,S09_set2_a6,Cymbal
659,,who was the eldest sibling,gilberte,hard,hard,S09_set4_a4,Blaise_Pascal
660,,what was michael faradays profession,chemist and physicist,,hard,S09_set4_a7,Michael_Faraday
661,Calvin_Coolidge,was calvin coolidge a governor of massachus08_setts,yes,easy,medium,S08_set3_a9,
662,,is the violin shaped like an hourglass,yes,easy,easy,S10_set2_a2,Violin
663,,why is a police whistle very wide for its pitch,a flutes volume can generally be increased by making its resonator and tone holes larger,hard,medium,S10_set2_a5,Flute
664,beetle,what are the similarities between beetles and grasshoppers,mouthparts,hard,medium,S08_set1_a8,
665,,was sir isaac newton an english physicist and mathematician,yes,easy,easy,S10_set4_a1,Isaac_Newton
666,,are all spoken varieties of chinese tonal and analytical,yes,easy,easy,S10_set5_a7,Chinese_language
667,,when did protouralic language arrive in finland,around 1900 bce,medium,medium,S10_set5_a5,Finnish_language
668,,do ants belong to the same order as bees,yes ants belong to the same order as bees,hard,medium,S10_set1_a1,Ant
669,leopard,how did early naturalists distinguish between leopards and panthers,by the length of their tails,hard,hard,S08_set1_a2,
670,,what is the boiling point of water dependent on,atmospheric pressure,medium,medium,S09_set4_a5,Anders_Celsius
671,,who did newton see as the master creator,newton saw god as the master creator whose existence could not be denied in the face of the grandeur of all creation,medium,easy,S09_set4_a1,Isaac_Newton
672,Liechtenstein,the historical society of the principality of liechtenstein plays what,a role in preserving the culture and history of the country,,easy,S08_set2_a1,
673,duck,what does the word duck mean,to bend down low as if to get under something,hard,hard,S08_set1_a10,
674,John_Adams,who was on the committee with adams to draft  a declaration of independence,thomas jefferson benjamin franklin robert r livingston and roger sherman,medium,medium,S08_set3_a1,
675,penguin,what have become flippers useless for flight in the air,penguins wings,,medium,S08_set1_a3,
676,,what happened in 1860,vincent van gogh attended the zundert village school from 1860,,medium,S10_set6_a7,Vincent_van_Gogh
677,elephant,how many living species of african elephants are there,2,medium,hard,S08_set1_a5,
678,,ultraviolet vision was first discovered in ants by sir who in 1881,john lubbok,,medium,S10_set1_a1,Ant
679,John_Adams,did john adams go to harvard,yes,easy,easy,S08_set3_a1,
680,Liechtenstein,is liechtenstein doubly landlocked,yes,easy,easy,S08_set2_a1,
681,,is swedish a descendant of old norse,yes,easy,easy,S10_set5_a9,Swedish_language
682,,which fruit inspired isaac newtons theory of gravitation,isaac newtons theory of gravitation was inspired by watching the fall of an apple from a tree,hard,hard,S10_set4_a1,Isaac_Newton
683,,did charlesaugustin de coulomb live to be 80 years old,no,,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
684,otter,where do sea otters live,the sea otter lives actually in the sea,medium,medium,S08_set1_a7,
685,Gray_Wolf,where do wolves have scent glands,between a wolfs toes,medium,medium,S08_set1_a6,
686,Qatar,is qatar bordered by saudi arabia to the south,yes,,easy,S08_set2_a3,
687,,did the moche people worship lobsters,yes,hard,easy,S10_set1_a5,Lobster
688,turtle,what type of creatures breathe air and dont lay eggs underwater,amniotes,hard,hard,S08_set1_a9,
689,Romania,how many territories joined to form romania,2,hard,too hard,S08_set2_a7,
690,,did isaac newton die in 1898,no,easy,easy,S10_set4_a1,Isaac_Newton
691,Singapore,how is singapores climate characterized,singapore has a tropical rainforest climate with no distinctive seasons,hard,medium,S08_set2_a2,
692,kangaroo,do kangaroos have many natural predators,no,easy,easy,S08_set1_a1,
693,,what is nassau coliseum,an arena in uniondale new york usa,medium,medium,S09_set3_a2,Nassau
694,,did alessandro volta die and retire in the same place,yes,hard,hard,S10_set4_a10,Alessandro_Volta
695,,are there many words in malay that use natural gender,no,hard,hard,S10_set5_a2,Malay_language
696,Gerald_Ford,has another us president been an eagle scout,no,hard,hard,S08_set3_a10,
697,John_Adams,what did jefferson call john adams,the colossus of independence,medium,hard,S08_set3_a1,
698,,when was the 7th symphony premiered,1942,,medium,S10_set3_a10,Saint_Petersburg
699,,is the battente smaller than a classical guitar,yes,easy,easy,S10_set2_a7,Guitar
700,kangaroo,are wild kangaroos shot for meat,yes,easy,easy,S08_set1_a1,
701,,which guitars use three singlecoil pickups,fender stratocaster type guitars,hard,too hard,S10_set2_a7,Guitar
702,,where is irving berlins piano located,in the smithsonian museum,hard,hard,S10_set2_a1,Piano
703,Liechtenstein,what enjoys one of the worlds highest standards of living,liechtensteins population,,medium,S08_set2_a1,
704,Singapore,when is the first record of s08_settlement in singapore,the first records of s08_settlement in singapore are from the second century ad,medium,medium,S08_set2_a2,
705,Calvin_Coolidge,was coolidge the thirteenth president of the united states,yes,easy,easy,S08_set3_a9,
706,,the ideas of the enlightenment shaped the development of what,the city lima,,medium,S09_set3_a4,Lima
707,penguin,is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 2,yes,,easy,S08_set1_a3,
708,,by 2050 what will the total population of portuguese speakers in the world be,by 2050 portuguesespeaking countries will have a total population of 335 million people,hard,hard,S10_set5_a1,Portuguese_language
709,,who laid out a street plan for the expanded s10_settlement,william richardson and alcalde francisco de haro,,medium,S10_set3_a8,San_Francisco
710,,do scutes fall away from the turtles shell,some of the scutes eventually fall away from the shell,easy,hard,S09_set1_a4,Turtle
711,,did coulomb die in angoulãªme france to a welltodo family,no,,easy,S10_set4_a6,Charles-Augustin_de_Coulomb
712,leopard,does a male leopard weigh more than a female leopard,yes,hard,hard,S08_set1_a2,
713,,was tesla an american citizen,yes,easy,easy,S10_set4_a3,Nikola_Tesla
714,,wasnt alessandro volta born in como,yes volta was born in como italy and was taught in the public schools there,,easy,S10_set4_a10,Alessandro_Volta
715,Calvin_Coolidge,in 1905 coolidge met and married whom,grace anna goodhue,medium,medium,S08_set3_a9,
716,Woodrow_Wilson,where is wilson buried,washington national cathedral,medium,medium,S08_set3_a8,
717,Abraham_Lincoln,which county was lincoln born in,hardin county,medium,medium,S08_set3_a4,
718,Uruguay,is uruguay located in the northwesten part of africa,no,easy,medium,S08_set2_a9,
719,Millard_Fillmore,what is the remarkable millard fillmore,a fake biography based on real events that happened in fillmores life,medium,medium,S08_set3_a3,
720,,what is the second main orchestral use of cymbals,the suspended cymbal,medium,medium,S09_set2_a6,Cymbal
721,Canada,what is the largest country in the world,russia,hard,hard,S08_set2_a8,
722,,are famous middle  schools  in beijing,yes,,easy,S09_set3_a7,Beijing
723,,what is the standardized form of spoken chinese,the standardized form of spoken chinese is standard mandarin,easy,medium,S10_set5_a7,Chinese_language
724,,did charlesaugustin de coulomb come from a poor family,no his mother came from a wealthy family in the wool trade,hard,hard,S10_set4_a6,Charles-Augustin_de_Coulomb
725,,who did alessandro volta marry,alessandro volta married teresa peregrini,medium,medium,S10_set4_a10,Alessandro_Volta
726,,did the occult influence newtons theory of gravitation,yes,hard,hard,S10_set4_a1,Isaac_Newton
727,,are hutongs disappearing,yes,easy,easy,S09_set3_a7,Beijing
728,,did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles,no,easy,easy,S09_set4_a6,Charles-Augustin_de_Coulomb
729,Ghana,what are the two subfamilies of the native ghanaian languages,kwa and gur,hard,hard,S08_set2_a5,
730,,when did watt retire,watt retired in 1800,medium,medium,S10_set4_a2,James_Watt
731,,how many main varieties of indian flutes are currently used,two,medium,medium,S10_set2_a5,Flute
732,kangaroo,what method of locomotion do kangaroos use,hopping,medium,medium,S08_set1_a1,
733,,was the xylophone associated with the folk music of the united states by the 19th century,no,easy,easy,S10_set2_a8,Xylophone
734,Ulysses_S._Grant,was grants fatherinlaw a democrat,yes,easy,easy,S08_set3_a5,
735,,are tortoises land based,yes,hard,easy,S09_set1_a4,Turtle
736,Woodrow_Wilson,who was president when wilson finished congressional government,grover cleveland,medium,medium,S08_set3_a8,
737,,by what name are drums classified as under the percussion group,membranophone,medium,medium,S10_set2_a4,Drum
738,,why does jakarta suffer frequent flooding,because it is located approximately eight meters above the sea level,hard,hard,S10_set3_a5,Jakarta
739,,do giraffes give birth standing up,yes,easy,easy,S09_set1_a5,Giraffe
740,Gray_Wolf,do wolf pups tend to have darker fur than adults,yes,easy,too easy,S08_set1_a6,
741,,are local variations in the formal written version of the language quite limited  being restricted largely to the spelling differences between british and american english,yes,,easy,S09_set5_a1,English_language
742,,where was isaac newton buried,westminster abbey,hard,medium,S10_set4_a1,Isaac_Newton
743,,after the 2008 elections what party had the most parliament seats,dap,hard,hard,S10_set3_a3,Kuala_Lumpur
744,,why may english translation of koreans adjectives misleadingly suggest that they are verbs,english does not have an identical grammatical category,hard,hard,S10_set5_a6,Korean_language
745,Egypt,what religions has egypt outlawed,all but christianity islam and judaism,medium,hard,S08_set2_a6,
746,,did johann josef loschmidt first calculate the value of avogadros number,yes,easy,easy,S10_set4_a8,Amedeo_Avogadro
747,,what is the battery made by volta credited to be,the first cell,medium,medium,S09_set4_a10,Alessandro_Volta
748,,was it used as the exclusive lingua franca on the island of sri lanka for almost 350 years,yes,,easy,S10_set5_a1,Portuguese_language
749,,what did alessandro volta invent in 1800,in 1800 alessandro volta invented the voltaic pile,medium,easy,S10_set4_a10,Alessandro_Volta
750,,is the city named after the apostle saint peter,yes,easy,easy,S10_set3_a10,Saint_Petersburg
751,Singapore,is singapore located at the southern tip of the korean penisula,yes,easy,easy,S08_set2_a2,
752,,how long are cougar adult males from nose to tail,24 meters,medium,medium,S10_set1_a2,Cougar
753,,is san franscico a popular tourist destination,yes san francisco is a popular international tourist destination,easy,easy,S10_set3_a8,San_Francisco
754,,is the flamenco guitar similar to the classical guitar,yes,easy,hard,S10_set2_a7,Guitar
755,,is the breeze eazy  method sometimes used to teach younger students,yes,,easy,S10_set2_a3,Trumpet
756,,did volta marry before he became professor of experimental physics at the university of pavia,no,hard,medium,S10_set4_a10,Alessandro_Volta
757,,does the city and its surrounding area also form the nairobi province,yes,,easy,S10_set3_a9,Nairobi
758,,when becquerel discovered radioactivity whose work did he investigate,wilhelm conrad rãntgen,hard,hard,S10_set4_a9,Henri_Becquerel
759,Millard_Fillmore,how did fillmore ascend to the presidency,upon the death of the sitting president taylor,hard,medium,S08_set3_a3,
760,,does the word violin come from the middle latin word vitula meaning stringed instrument,yes,,easy,S10_set2_a2,Violin
761,elephant,what is the world population of asian elephants,60000,medium,medium,S08_set1_a5,
762,,how many total keys does a typical modern piano have,a modern piano has 88 keys,medium,medium,S10_set2_a1,Piano
763,\n,hard,hard,S08_set3_a10,,,
764,Qatar,qatar became an independent sovereign state in what year,on september 3 1971,,medium,S08_set2_a3,
765,kangaroo,are kangaroos and wallabies adept swimmers,yes,,easy,S08_set1_a1,
766,turtle,are turtle eggs leathery and soft,yes,easy,easy,S08_set1_a9,
767,duck,what are some economic uses for duck,being farmed for their meat eggs feathers particularly their down,medium,medium,S08_set1_a10,
768,,how many head entries for character definitions does the zhonghua zihai 20013213262338328023 1994 contain,85568 head entries,medium,medium,S10_set5_a7,Chinese_language
769,Gerald_Ford,did gerald ford serve as the republican minority leader of the house of representatives,yes,easy,easy,S08_set3_a10,
770,,did alessandro volta die and retire in the same place,alessandro volta retired and died in the same place,hard,hard,S10_set4_a10,Alessandro_Volta
771,otter,where do sea otters live,sea otters enhydra lutris live along the pacific coast of north america,medium,easy,S08_set1_a7,
772,,how many of james watts children did not live to adulthood,3,medium,hard,S09_set4_a2,James_Watt
773,James_Monroe,is james monrow the fifth president of us,yes,easy,easy,S08_set3_a2,
774,,did norman rockwell spend the winter months as artistinresidence at otis college of art as well as design,yes,,easy,S10_set6_a4,Norman_Rockwell
775,Romania,is the president elected by popular vote,yes,easy,easy,S08_set2_a7,
776,,is university of dhaka older than the dhaka college,no,hard,hard,S09_set3_a3,Dhaka
777,,what was the name of james watts mother,agnus muirhead,easy,medium,S09_set4_a2,James_Watt
778,Nikola_Tesla,are there at least two films describing tesla s life,yes,,easy,S08_set4_a3,
779,,which two sports events did the olympiastadion host,the olympiastadion hosted the 1936 summer olympics and the 2006 fifa world cup final,medium,medium,S10_set3_a1,Berlin
780,Romania,how many countries in europe are bigger than romania,eleven,hard,hard,S08_set2_a7,
781,otter,what do river otters eat,a variety of fish and shellfish as well as small land mammals and birds,medium,easy,S08_set1_a7,
782,,when did a standard and common language become available to all swedes,in the 20th century,medium,hard,S10_set5_a9,Swedish_language
783,,what languages did tesla speak,serbian czech english french german hungarian italian and latin,medium,medium,S10_set4_a3,Nikola_Tesla
784,turtle,do turtles lay eggs underwater,no,easy,easy,S08_set1_a9,
785,,are cymbals used in moden orchestras,yes,easy,easy,S09_set2_a6,Cymbal
786,,do linguists consider malay to be a single language,no,hard,hard,S10_set5_a2,Malay_language
787,Grover_Cleveland,what did cleveland die from,a heart attack,medium,medium,S08_set3_a6,
788,,was the luther bible by martin luther printed,yes,,easy,S09_set5_a2,German_language
789,Abraham_Lincoln,did lincoln win the election of 1860,yes,hard,too hard,S08_set3_a4,
790,polar_bear,did mitchell taylor  the nunavut government manager of wildlife research  not write a letter to the us fish and wildlife service arguing that local studies are insufficient evidence for global protection at this time,no,,easy,S08_set1_a4,
791,Liechtenstein,what happened in moravia  lower austria  silesia  and styria  though in all cases  these territories were held in fief under other more senior feudal lords,the liechtenstein dynasty acquired vast swaths of land,,medium,S08_set2_a1,
792,turtle,do sea turtles lay eggs on dry sandy beaches,yes,easy,easy,S08_set1_a9,
793,,is modern korean written with spaces between words,yes,,easy,S10_set5_a6,Korean_language
794,polar_bear,is a polar bear white in color,yes,easy,easy,S08_set1_a4,
795,Qatar,what universities are in education city,carnegie mellon university georgetown university school of foreign service texas am university virginia commonwealth university and cornell university,hard,hard,S08_set2_a3,
796,Romania,did romania declare neutrality during world war i,yes,easy,easy,S08_set2_a7,
797,Romania,what are approximately 42000 years old and have been nicknamed john of anina,the remains the lower jaw of the oldest modern human,,hard,S08_set2_a7,
798,,how many seasons does kuala lumpur experience,1,hard,too hard,S10_set3_a3,Kuala_Lumpur
799,,where did the construction of fort bourbon take place,martinique,hard,medium,S09_set4_a6,Charles-Augustin_de_Coulomb
800,Egypt,when did organized agriculture appear in the nile valley,6000 bc,hard,medium,S08_set2_a6,
801,,how many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal,162,,hard,S09_set4_a7,Michael_Faraday
802,,who was blaise pascals father,his father ãtienne pascal 1588â1651 who also had an interest in science and mathematics was a local judge,easy,medium,S10_set4_a4,Blaise_Pascal
803,otter,are otters totem animals,yes,easy,easy,S08_set1_a7,
804,,was the jakarta area part of the fourth century indianized kingdom of tarumanagara,yes,,easy,S10_set3_a5,Jakarta
805,Theodore_Roosevelt,who was roosevelts presidential hero,lincoln was roosevelts presidential hero,medium,medium,S08_set3_a7,
806,,was isaac newton religious,yes he was highly religious though an unorthodox christian,easy,easy,S10_set4_a1,Isaac_Newton
807,Calvin_Coolidge,of what state was coolidge governor,massachus08_setts,hard,medium,S08_set3_a9,
808,turtle,name a turtle popularly kept as a pet,russian tortoises,medium,hard,S08_set1_a9,
809,,what does henri becquerel do,henri becquerel was a physicist,,hard,S09_set4_a9,Henri_Becquerel
810,,in which place is lyre still played,northeastern parts of africa,medium,medium,S09_set2_a10,Lyre
811,Abraham_Lincoln,did his mother die of pneumonia,no,easy,easy,S08_set3_a4,
812,,how old was pascal when he died,39,hard,too hard,S10_set4_a4,Blaise_Pascal
813,,is the mechanism in an upright piano perpendicular to its keys,yes,easy,easy,S10_set2_a1,Piano
814,Ghana,how many regions is ghana divided into,10,medium,easy,S08_set2_a5,
815,,what do some historians of science refer to faraday as,the best experimentalist in the history of science,medium,medium,S09_set4_a7,Michael_Faraday
816,,did volta have a passion for the study of electricity,yes,easy,easy,S09_set4_a10,Alessandro_Volta
817,Gray_Wolf,do wolves leave their pack,they leave their birth pack when they reach sexual maturity,easy,medium,S08_set1_a6,
