Question,Answer,Predictive Answer
when was the 7th symphony premiered,1942,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport 
where is jakarta located,northwest coast of java,on the shoulder 
does the charge reside on the interior of a charged conductor,no,no 
is the gdp  per capita in lima  7600    ref,yes,yes 
when was volta made a count by napoleon,volta was made a count by napoleon in 1810,volta was born 
james watt was born where,greenock a seaport on the firth of clyde,yes 
was charlesaugustin de coulomb a member of the national institute,yes,yes 
what is canadas national unemployment rate,while as of october 2007 canadas national unemployment rate of 59 is its lowest in 33 years provincial unemployment rates vary from a low of 36 in alberta to a high of 146 in newfoundland and labrador,in 1451 berlin gave up its status as a free hanseatic city 
is an otter s den called a holt,yes,yes 
has tusklessness become a rare abnormality,no tusklessness has become a widespread hereditary trait,no 
had he smoked only sporadically,yes,yes 
did john adams get along with alexander hamilton,no,no 
what is panda diplomacy,loans of giant pandas to american and japanese zoos,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction 
where was the largest elephant ever recorded shot,the largest elephant ever recorded was shot in angola in 1956,the mask and mirror 
is copenhagen completely surrounded with water,no,no 
what areas can giraffes inhabit,inhabit savannas grasslands or open woodlands,pleurodira 
are a wolfs teeth its main weapons,yes,yes 
is egypt the most populated country in africa,no,no 
what is avogadro most noted for,contributions to the theory of molarity and molecular weight,its tongue 
how much weight do female polar bears gain during pregnancy,they gain double their weight,they do not have wings 
how did civil wars affect england during the middle ages,london remained relatively untouched,the federalist party 
what universities are in education city,carnegie mellon university georgetown university school of foreign service texas am university virginia commonwealth university and cornell university,jakarta lies on a plain eight meters above the sea level 
what fraternity was coolidge a member of,phi gamma delta,brass 
is there a thriving industry in the collection of beetle specimens for amateur and professional collectors,yes,yes 
have many european languages borrowed numerous words from it,yes,yes 
what is the second biggest factor affecting the sound produced by a drum,tension,the largest primarily frenchspeaking city in the western world 
who was first apprenticed to a fuller to learn the clothmaking trade,millard fillmore,the city lima 
what is a roo,a kangaroo,a polar bears skin 
the savings and loans bank was founded as was the first cottonweaving mill in what year,1861,1868 
what are the oldest known musical instruments,a three holedflute made from a mammoth tusk and two flutes made from swans bones,a polar bears skin 
are gray wolves native to north america,no current theory suggests that its from eurasia,no 
what was the dead or alive 4 fighting arena modeled after,a magnetic accelerator cannon station from halo 2,the government seeks to increase its gdp contribution to 3 by 2012 
when did the catholic university of eastern africa which obtain its letter of interim authority,in 1989,in many areas wild ducks of various species including ducks farmed of any wild cat although populations before and since have his religious beliefs 
why are otters vulnerable to prey depletion,preydependency,yes 
what happens if a wing is removed,if a ring is removed the other three will grow to a larger size,physisist 
did he become professor of experimental physics at the university of pavia,yes,no 
what is the citys population,16 million,pleurodira 
what would a tiger do when seized by a crocodile,strike at the reptiles eyes with its paws,a luthier 
what used singapore as a strategic trading post along the spice route,british,the three heaviest cats in the world are the tiger lion and jaguar 
has an octopus a hard beak with its mouth at the center point of the arms,yes,yes 
what is tobogganing,tobogganing is when penguins slide on their bellies across the snow,when they are born with brown rather than black plumage 
was cleveland s portrait on the us  1000 bill from 1928 to 1946,yes,yes 
did volta marry before he became professor of experimental physics at the university of pavia,no,no 
are penguins birds,yes,yes 
what insulate it against the cold,its think blubber and fur,its tongue 
what is now part of adams national historical park,john adams birthplace,john agyekum kufuor 
when becquerel discovered radioactivity whose work did he investigate,wilhelm conrad röntgen,1908 
in what year were the games of the xv olympiad held,1952,pleurodira 
when did protouralic language arrive in finland,protouralic language arrived in finland around 1900 bce,cmx 
are penguins at risk,yes,yes 
which russian army general conquered finland in 1809,alexander i,no 
becquerel wrapped a fluorescent substance in what,photographic plates and black material,one kind of gas obtained via a tracheal system 
where did tesla study electrical engineering,the austrian polytechnic in graz,the austrian polytechnic in graz 
what arrived in britain,the first canadian army units in ww ii,the volt 
what is monroes fathers name,spence monroe,the leopards ecological role 
was newton admitted into havard college,no,no 
did wilson not spend 1914 through the beginning of 1917 trying to keep america out of the war in europe,yes,yes 
are ducks in the arctic northern hemisphere migratory,some are,yes 
are many beetles territorial,yes,yes 
what is the population of the city of antwerp,antwerps population is 472071,antwerp is in belgium 
what is the color of the australian black swan,completely black except for the white feathers on its wings,the largest primarily frenchspeaking 
how does the government of the peoples republic of china often refer to all divisions of the sinitic languages besides standard mandarin,the prc commonly refers to all divisons of the sinitic languages beside standard mandarin as fangyan or regional tongues,the government seeks to increase its gdp contribution to 3 by 2012 
is the violin shaped like an hourglass,yes,yes 
did singapores standard of living decrease since independence,no,no 
was alessandro volta a professor of chemistry,no,no 
is jakarta the 12th largest city in the world,yes,yes 
where is qatars telecommunication system centered,doha,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
the xylophone is an instrument from what family,percussion,the percussion family 
is the tiger a member of the felidar family,no,no 
is uruguay a member of the cairns group of exporters of agricultural products,yes,yes 
james watts improvements of what were fundamental to the changes wrought by the industrial revolution,the steam engine,the revolution caused coulomb to resign his appointment as intendent des eaux et fontains 
what is the basic word order in malay,subject verb object,subject object verb 
are among his most famous works the protocubist les demoiselles davignon 1907 and guernica 1937 his portrayal of the german bombing of guernica during the spanish civil war,yes,yes 
is catalan the only  official  language  of andorra,yes,yes 
how many regions is ghana divided into,10,two 
what is the faraday effect,the faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving,the federalist party 
why are upright pianos more compact,upright pianos are more compact because the frame and strings are vertical,no 
what is the official language of liechtenstein,german,pleurodira 
does a violin have four strings,yes,yes 
what city in the uk has been subjected to bouts of terrorism,london has been subjected to bouts of terrorism,pleurodira 
was thedore roosevelt  a member of the republican party,yes,yes 
is the aburukuwa a type of drum,yes,yes 
what was made in russias largest foundry,thousands of sculptures and statues,at the doha players theatre 
where did watt attend university,watt did not attend school regularly,in 1451 berlin gave up its status as a free hanseatic city 
what religions are found in uruguay,roman catholic protestant jewish and nonprofessing,roman catholic 
what did james monroe do before being elected governor,he practiced law,he invented a new method 
is romania a secular state,yes,yes 
is jakarta the countrys economic cultural and political center,yes,yes 
had fords wife married before,yes,yes 
when did watt retire,in 1800,in 1451 berlin gave up its status as a free hanseatic city 
today are there more cell phone subscriptions than people in finland,yes,yes 
was monroe anticlerical,no,no 
was faraday considered a gentleman,no,no 
why did lincoln issue the emancipation proclamation,to free slaves,the city lima 
is an asian elephant smaller than an african elephant,yes,yes 
when were the great sphinx and the pyramids of giza built,during the old kingdom,during the old dative form as a rich fur for which humans hunted them almost to extinction 
what makes it more difficult for a diving duck to fly,they are heavier,they are food to beetles 
did grant  perkins not sell harnesses  saddles  and other leather goods and purchase hides from farmers in the prosperous galena area,they did,they do not have a vegetarian 
how many living species of african elephants are there,2,78 million 
is the lyre a stringed musical instrument,yes,yes 
has sang nila utama visited singapore,yes,yes 
what makes san francisco among the topten north american destinations for conventions and conferences,a large hotel infrastructure and a worldclass convention facility in the moscone center,its tongue 
what was the nickname of theodore roosevelts sister anna,bamie,at the battle of singapore 
how does swedish language counterbalance the absence of cases,the lack of cases in swedish is compensated by a wide variety of prepositions,the emperor penguin aptenodytes forsteri 
what body of water lies to the south of finland,the gulf of finland,the volt 
the trumpet can be confused with what close relative,the coronet,the west irian liberation statue is one of the many sukarno era monuments in the city 
what trumpet was the first to be allowed in the christian church,slide trumpets,slide trumpets 
his passion been always the study of what,electricity,antwerp is a municipality 
which type of beetle is a pest of potato plants,colorado potato beetle,no 
is the most important river the ciliwung river,yes,yes 
does romania border hungary,yes,yes 
why did bequerel win the nobel prize in physics,was the discoverer of radioactivity,university of turin 
was charlesaugustin de coulomb ever employed at la rochelle,yes upon his return to france with the rank of captain he was employed at la rochelle,yes 
is turtle soup considered a delicacy,no,yes 
whad did celsius report in his paper observations of two persistent degrees on a thermometer,the freezing point is independent of latitude,the city lima 
who features violinist boyd tinsley,dave matthews band features violinist boyd tinsley,in many areas wild ducks farmed for much earthquake activity 
is matti vanhanen the prime minister of finland,yes,yes 
why is the giant otter becoming increasingly rare,poaching habitat loss and toxins in gold mining,poaching habitat loss and by a very low birthrate 
which two sports events did the olympiastadion host,the olympiastadion hosted the 1936 summer olympics and the 2006 fifa world cup final,the leopards ecological role 
what happened in 1811,monroe returned to the virginia house of delegates and was elected to another term as governor of virginia,christian 
was paul jackson pollock an influential american painter as well as a major figure in the abstract expressionist movement,yes pollock was an influential american painter and a major figure in the abstract expressionist movement,yes 
was adams the first to introduce a bicameral legislature,yes,yes 
was charlesaugustin de coulomb a spanish biologist,no he was a french physicist,no 
is avogadro s  number commonly used to compute  the results  of chemical reactions,yes,yes 
what two instruments form the modern drum kit,the cymbals and the drum,the federalist party 
are elephants the largest land animals alive today,yes,yes 
when did the soviet military forces occupy estonia,in 1944,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
what did alessandro volta invent in 1800,in 1800 alessandro volta invented the voltaic pile,in 1451 berlin gave up its status as a free hanseatic city 
how many living species of african elephants are there,the african elephant genus contains two or arguably three living species,78 million 
what was one of the results of the introduction of the new turkish alphabet,a dramatic increase in literacy from third world levels,a luthier 
are cubs born in december without awakening the mother,yes,yes 
who spend half of their life on land and half in the oceans,penguins,on january 181535 
what do fossil and dna evidence tell us,the polar bear diverged from the brown bear about 200 thousand years ago,the federalist party and national democratic congress 
is it also possible that penguin comes from the latin pinguis  fat,yes,yes 
was he professor at uppsala university,yes,yes 
in what country did fox hunting originate,the united kingdom,in the white nights festival in saint petersburg 
in turkish which syllable usually has the stress,stress is usually on the last syllable,no 
is the famous dragon gate at the entrance to the district at the corner of grant and bush street,yes,yes 
what is ottawas junior ice hockey team,the ottawa 67s,the slide down snowy slopes apparently for sheer enjoyment 
was qatar university founded in 1973,yes,yes 
do carrion beetles eat dung,no,no 
what have clash cymbals traditionally been accompanied by,the bass drum playing an identical part,the federalist party 
what is the earliest extant transverse flute,chi,it is also the name of a baseball catcher a film director a guitarist an economist a footballer a dj an actor and james son of zebedee fictional people 
what is the national language of singapore,the national language of singapore is malay,the largest primarily frenchspeaking 
what is the official language of romania,romanian,brass 
how many species of true eels are there,there are approximately 800 species of true eels,78 million 
based on the average in what year will the next small tremor occur in ottawa,2009,yes 
how do rock and roll drummers like their drumheads,drums that sound loud and deep,they are food to beetles 
who created monas park,general herman willem deandels,john agyekum kufuor 
who founded montevideo,the spanish,by the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
do mikrolets travel on the main roads,no,no 
what happened in 1785,coulomb presented his three reports on electricity and magnetism,an adult cougars paw print is approximately 10 cm 4 inches long 
does a classical lyre have a hollow body,yes,yes 
what are the patterns of vowel harmony,vowels are characterised by two features frontback and roundedunrounded,pleurodira 
what percentage of the population dont speak english or french at home,15,28 
are there at least two films describing tesla s life,yes,yes 
are ants used in cuisine,yes,yes 
how do otters keep themselves warm without blubber,a layer of air trapped in their fur,a flute player a flautist a vegetarian 
is the flute a musical instrument,yes,yes 
what is the mrt,one of three heavy rail passenger transport lines in singapore,james 
is it not also one of the two official languages of the yanbian korean autonomous prefecture in china,yes,yes 
what are prey of various animals including birds and mammals,beetles,in a log cabin in summerhill new york 
which type of beetle is a pest of potato plants,colorado potato beetle,no 
are kangaroos and wallabies adept swimmers,yes,yes 
where does the word violin come from,the middle latin word vitula meaning stringed instrument,the mask and mirror 
what is largest polar bear on record,2200 lb,a luthier 
what happened in 1833,blah blah blah,volt 
can speakers of modern malay understand old malay,no,no 
where do giant pandas live,a few mountain ranges in central china,in all oceans 
who helped to fund roosevelts african safari,financed by andrew carnegie and his own proposed writings,no 
do ducks forage underwater,yes,no 
what happened in 1980s,the use of traditional nonsynthesized orchestras declined,the volt 
does san francisco have a high percentage of gay and lesbian individuals,yes,yes 
do scutes fall away from the turtles shell,yes eventually,yes 
what economic uses to ducks have,they are farmed for their meat eggs and feathers they are also kept and bred by aviculturists and often displayed in zoos,they are food to beetles 
how long does it take for the panda cubs skin to turn gray,one to two weeks,one to two weeks 
why did grant say damn i had nothing to do with this batte,it went well,it was formed 
who was on the committee with adams to draft  a declaration of independence,thomas jefferson benjamin franklin robert r livingston and roger sherman,no 
what land animal is larger than an elephant,none the elephant is the largest land animal,none antwerp is a municipality 
was his father   henri  coulomb  inspector of the royal  fields  in montpellier,yes,yes 
did eucalypt forests grow in the place of rainforests,yes the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests,yes 
is the spelling of turkish phonetic,yes turkish now has an alphabet suited to the sounds of the language the spelling is largely phonetic with one letter corresponding to each phoneme,yes 
was alessandro volta taught in public schools,volta was taught in public schools,yes 
what position is used to play the cello,seated,a heart attack 
where do joeys complete postnatal development,a pouch called a marsupium,in many areas wild ducks farmed and released into james son of zebedee fictional people 
did the modern hihat evolve from clash cymbals,yes,yes 
what is surplus killing,the killing of several prey animals too numerous to eat at one sitting,the three heaviest cats in the world are the tiger lion and jaguar 
did mainland nova scotia not come under british rule with the treaty of utrecht,no,no 
he published a collection of what,observations,antwerp is to the east of the scheldt river 
he founded the private university of buffalo on what date,1846,yes 
where is the park of the reserve located,near the downtown area,in the city 
is golden gate park the largest city park,yes,yes 
how many countries in europe are bigger than romania,eleven,eleven 
which guitars use three singlecoil pickups,fender statocaster type guitars,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
for how long was ford a member of the house of representatives,ford served for over eight years as the republican minority leader of the united states house of representatives,over two hundred 
what is the national currency of liechtenstein,swiss franc,pleurodira 
was adams an opponent of the stamp act,yes,yes 
what did cleveland die from,a heart attack,a heart attack 
when does a flute produce sound,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,in a log cabin in summerhill new york city by the mexican muralist david alfaro 
when becquerel discovered radioactivity whose work did he investigate,wilhelm conrad rãntgen,1908 
which ballet by pyotr tchaikovsky is partially based on an ancient german legend about a princess who was turned into a swan,swan lake,yes 
why polar bear is a special species,the world conservation union listed polar bears as a vulnerable species one of three subcategories of threatened status in may 2006 their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced,the slide down snowy slopes apparently for sheer enjoyment 
is the national university of san marcos in lima,yes,yes 
what became one of the most important commercial and military centres of the british empire,singapore,over two hundred 
what have become flippers useless for flight in the air,penguins wings,its tongue 
was ford active about vietnamese affairs,no,yes 
is foie gras often made from ducks,yes,yes 
do wolves leave their pack,they leave their birth pack when they reach sexual maturity,yes 
how many arms does an octopus have,the octopus has four pairs of arms,six 
what is the largest country in the world,russia,the largest primarily frenchspeaking city in the western world is paris 
are immature sea turtles not cared for by the adults,yes,yes 
wasnt malay language written using pallava,yes,yes 
what does the word ghana mean,warrior king,the federalist party 
what expression is part of a conceptual framework for testing computer systems,quacks like a duck,pleurodira 
were trumpet players heavily guarded,yes,yes 
what is one of the challenges of reestablishing a population of eurasian otters in the uk,roadkill deaths,its population 
is berlin the largest city in germany,yes,yes 
how long was lincolns legal career,23 years,over two hundred 
how many people use the bus network daily,more than 278 million people,278 million people 
during his lifetime did pollock enjoy considerable fame and notoriety,yes,yes 
the collective noun romp is sometimes used for a group of what,otters,antwerp is a municipality 
how long have people been making instruments like violins,since 1555,since ancient times 
what are the elephants ears important for,temperature regulation,the federalist party 
does qatar rank as the eighth richest country in the world per capita,no,no 
was the luther bible by martin luther printed,yes,yes 
where was celsius born,uppsala sweden,at the battle of singapore 
when did islam become the dominant religion in java and sumatra,the end of the 16th century,by the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
what are young swans known as,cygnets,cygnets 
was the xylophone associated with the folk music of the united states by the 19th century,no,no 
is the red river delta traditionally poor,not compared to nghe an ha tinh or quang binh,yes 
how do eels begin life,eels begin life as flat and transparent larvae called leptocephali,as natural or ecological 
what is temperature would water have to be to be halfway between its standard boiling and freezing point,50,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
the spanish crown named pizarro governor of what,hemming,antwerp is a city and municipality 
is liechtenstein heavily urbanized,no,no 
where is the leopard distributed,southern eurasia and africa from korea to south africa and spain,southern eurasia and africa 
what is tobogganing,when penguins slide on their bellies across the snow,when a stream of air directed across a film director a guitarist an economist a footballer a dj an actor and james son of zebedee fictional people with this name 
what musical styles is the trumpet used in,ska ska punk classical jazz rock blues pop polka cuban music mariachi and funk,christian 
does an ants head contain sensory organs,yes,yes 
was calvin coolidge born in plymouth windsor county vermont,yes,yes 
where was volta born,como,a log cabin in summerhill new york 
how are new words formed in malay,affixation composition and reduplication,subject object verb 
are swans and ducks birds of the same family,yes,yes 
why did coolidge not attend law school,it was too expensive,no 
did ford get an award called congressmans congressman,no,no 
what is responsible for converting the hydrogen byproduct of fermentation into acetate,the digestive system of a kangaroo,the largest primarily frenchspeaking 
have adverbs of time to appear in the third place in the sentence  just after the predicate,yes,yes 
is it true that each penguin gets a turn in the center,yes,yes 
when is the first record of s08_settlement in singapore,second century ad,the city lima 
what are the names of the two zoos in berlin,the two zoos in berlin are the zoologischer garten berlin and the tierpark friedrichsfelde,the volt 
when did lombardy come under napoleons rule,from 1796 to 1815,from g3 to c8 
how much time to penguins spend on land,they spend half of their life on land,they are food to beetles 
where do bees live,in colonies,in all oceans 
what do beetles eat,some are generalists eating both plants and animals other beetles are highly specialised in their diet,they are food to beetles 
as a celebrator of beauty and especially feminine sensuality has it been said that renoir is the final representative of a tradition which runs directly from rubens to watteau,yes,yes 
when did classical chinese literature begin,classical chinese literature began in the spring and autumn period,classical chinese literature began in the 14th to 11th centuires bce 
where is the berliner dom located,on the spree island,in the smithsonian museum 
why may english translation of koreans adjectives misleadingly suggest that they are verbs,english does not have an identical grammatical category,english 
who was blaise pascals father,ãtienne pascal,his date of birth was close friends with mark twain 
from what type of cymbals can a expert player obtain an enormous dynamic range,crash cymbals,pleurodira 
does the united states have a base near glasgow,yes,yes 
where is jakarta located,on the northwest coast of java,on the shoulder 
what do river otters eat,river otters eat a variety of fish and shellfish as well as small land mammals and birds,a luthier 
as a boy did he work in a porcelain factory where his drawing talents led to him being chosen to paint designs on fine china,yes,yes 
what is the primary domestic source of water supply,the primary domestic source of water supply in singapore is rainfall,the largest primarily frenchspeaking city in the western world is paris 
what is jakarta,indonesias special capital region,pleurodira 
how many species of penguins are there,penguin biodiversity varies between 17 and 20 living species all in the subfamily spheniscinae,78 million 
can the title of this famous 1811 paper be roughly translated into english,yes,yes 
is canadas official language zulu,no,no 
do male giraffes weigh more than female giraffes,yes,yes 
did abraham lincoln live in the frontier,yes,yes 
did becquerel study science at the école des ponts et chaussées,yes,yes 
does it snow in ottawa,yes,yes 
arent drums often used in music therapy,yes drums are often used in music therapy,yes 
what happened to copenhagen between 1251 and 1255,a bunch of things,a luthier 
is it true that it angered many residents of the thirteen colonies,yes,yes 
are tortoises land based,yes,yes 
did henri becquerel intentionally discover radioactivity,no,no 
was ford released from the hospital,yes,yes 
was grant elected president as a republican,yes,yes 
are tigers solitary animals,yes,yes 
for how many years of james watts life was his mother alive,17 years,sea 
how long was kuala lumpur occupied by the japanese,42 months,over two hundred 
where was isaac newton born,woolsthorpe manor in woolsthorpebycolsterworth,at the battle of singapore 
how did the supporters of henry clay feel about fillmore in 1848,angry,they are food to beetles 
was volta made a count in 1810,yes,yes 
are cougars larger than jaguars,cougars are not larger than jaguars,yes 
was dizzy gillespie a famous trumpeter in 1998,no,no 
what is the polish word for swan,åabädåº,hamsa or hansa 
what is one of the challenges of reestablishing a population of eurasian otters in the uk,roadkill deaths have become one of the significant threats to the success of their reestablishment,its tongue 
where was henri becquerel born,paris,paris 
was lombardy under napoleons rule in 1800,yes,yes 
do swans feature strongly in mythology,yes,yes 
did faraday marry sarah barnard,yes,yes 
how heavy was the largest polar bear on record,1002 kg 2200 lb,he was strong in biology 
who shares credit with isaac newton for developing calculus,gottfried leibniz,three 
wasnt blaise pascal a work of desargues on conic sections,yes it was,yes 
did lincoln beat john c breckinridge in the 1860 election,yes,yes 
how much of the population is of white european descent,88,pleurodira 
whats the timber of ancient cimbals like disfluent,like that of small handbells or of the notes of the keyed harmonica,no 
when did a standard and common language become available to all swedes,in the 20th century,in the white nights festival in saint petersburg 
how did early naturalists distinguish between leopards and panthers,by the length of their tails,by their hardened often darkened head the presence of chewing mouthparts and spiracles 
what is cello an abbreviation of,violoncello,brass tubing bent twice into an oblong shape 
when was charlesaugustin de coulomb permanently stationed in paris,charlesaugustin de coulomb was permanently stationed in paris in 1781,yes 
does uruguay recognize samesex civil unions,yes,yes 
are the korean names for the language based on the names for korea used in north as well as south korea,yes,yes 
was wilson a member of the phi kappa psi fraternity,yes,yes 
james watt ranked first among how many people in charles murrays survey of historiometry,229,yes 
the number of elementary entities in 1 mole of a substance is known as what,avogadros constant,antwerp is a city in his later years tesla 
which is the busiest airport in berlin,tegel international airport is the busiest airport in berlin,the city lima 
where was grant born,a log cabin in point pleasant clermont county ohio,a log cabin in summerhill new york 
is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 2,yes,yes 
was the leopard tank a german designed tank which entered service in 1965,yes,yes 
are there several types of trumpet,yes,yes 
is liechtenstein bordered by switzerland,yes,yes 
is the the biggest university in jakarta the university of indonesia,yes,yes 
how to travel to work from the city to moscow,one way is through the moscowsaint petersburg railway,french 
what is the caridoid escape reaction,swimming backwards quickly by curling and uncurling their abdomen,the largest primarily frenchspeaking city in the western world is paris 
by 2050 what will the total population of portuguese speakers in the world be,by 2050 portuguesespeaking countries will have a total population of 335 million people,yes 
was isaac newton educated at the kings schol grantham,yes,yes 
is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 22 lb rrb,yes,yes 
is uruguay located in the northwesten part of africa,no,no 
is nassau sound a body of water in maine,no,no 
what did anders celsius determine about the boiling of water,he determined the dependence of the boiling of water with atmospheric pressure,pleurodira 
is uruguay the smallest soverign nation in south america,no,no 
do otters live in water,yes,yes 
does the gray wolf share an ancestry with the domestic dog,yes,yes 
are turtles pets,yes,yes 
what religion do most uruguayans profess,none,roman catholic 
why is vattenfall shifting towards reliance on cleaner renewable energy sources,because burning lignite produces harmful emissions,because they are born with brown rather than black plumage 
how many korean speakers are there,there are about 78 million korean speakers,78 million 
how many swedish speakers were reported in canada in 2001,there are 16915 reported swedish speakers in canada,16915 
does the state court rule on the conformity of laws,yes,yes 
was alessandro volta an egyptian,no,no 
how many domestic tourists visit melbourne,76 million,over two hundred 
what are the similarities between beetles and grasshoppers,mouthparts,beetles 
what exception to the rules of vowel harmony do compound words have,in compound words the vowels need not harmonize between the constituent words of the compound,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
what happened in 1917,raised billions through liberty loans imposed an income tax s08_set up the war industries board promoted labor union growth supervised agriculture and food production through the lever act took over control of the railroads and suppressed antiwar movements,christian 
what led pascal to his religious conversion,two basic influences led him to his conversion sickness and jansenism,two long tours 
what prompted the city to upgrade its building codes,the threat of major earthquakes,the largest primarily frenchspeaking city in the western world is the site of the german parliament 
does indonesia have the worlds hightest level of biodiversity,no,no 
has another us president been an eagle scout,no,no 
what universities are in education city,carnegie mellon university georgetown university school of foreign service texas am university virginia commonwealth university and cornell universitys weill medical college,jakarta lies on a plain eight meters above the sea level 
what is the earliest date of the trumpet,1500 bc,the three heaviest cats in the world is the site of the german parliament 
would it be common for tigers to mate in january,yes,yes 
does melbourne have a large international student community,yes,yes 
what order do penguins belong to,sphenisciformes,they do not break down 
is it true that romania has a population of 21698181,yes,yes 
who constructed a kit using diatonic and chromatically tuned drums,terry bozzio,british east india company 
what languages has malay borrowed words from,sanskrit arabic and english,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly woodlands 
who made volta a count,napoleon,at the battle of singapore 
what is the battery made by volta credited to be,the first cell,the largest primarily frenchspeaking 
was newton admitted into havard college,maybe but it doesnt say so in the article,no 
what is ottawas population,1190982,sea otters have some 200000 hairs per square cm 
did canadian soldiers win the battle of vimy ridge in 1917,no it did not,no 
are panthers a type of tiger,no,yes 
is the standard of living in san franciscio high,yes san francisco is characterized by a high standard of living,yes 
what do zebras eat,mainly grass,a polar bears skin 
is an acoustic guitar dependent on an external device,no,no 
whose ideas inspired charlesaugustin de coulombs experiments on the resistance of masonries,he carried out several experiments on the resistance of masonries which were inspired by the ideas of pieter van musschenbroek on friction,yes 
did pierreauguste renoir die in limoges hautevienne france the child of a working class family,no,yes 
who was kwame nkrumah,founder and first president of the modern ghanaian state,founder 
did singapores standard of living decrease since independence,no the standard living was raised,no 
what are the two main groups of portuguese dialects,the two main groups of dialects are brazil and the old world,the two main character 
was charlesaugustin de coulomb ever employed at la rochelle,yes,yes 
how do eels begin life,as flat and transparent larvae called leptocephali,as a federal semiautonomous polity 
did the department of the interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements,yes,yes 
are the javanese the largest and politically dominant ethnic group in indonesia,yes,yes 
do male giraffes weigh more than female giraffes,yes,yes 
was vietnamese formally written using the chinese writing system,yes vietnamese was formerly written using the chinese writing system,yes 
what was ottawas name in 1850,bytown,jakarta lies on a plain eight meters above the sea level 
is it true that the ideas of the enlightenment shaped the development of the city,yes,yes 
is the mechanism in an upright piano perpendicular to its keys,yes,yes 
who was the general in charge at the battle of antietam,general mcclellan,john lubbok 
what company administers leichtensteins railways,austrian federal railways,in 1451 berlin and free from g3 to c8 
what is the second main orchestral use of cymbals,the suspended cymbal is the second main orchestral use of symbals,the suspended cymbal 
what is the mean level of mercury in american lobsters,031 ppm,in 1451 berlin and free from six 
what is the faraday effect,the plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic field aligned in the direction the light is moving,the largest primarily frenchspeaking city in the western world is the site of the german parliament 
older english sources used the name korean to refer to what,language country and people,chinese 
he became chief engineer in the department of bridges and highways in what year,in 1894,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
what is someone who makes violins called,a luthier or simply a violin maker,a luthier 
what is the point called that is bolted or glued to the body of the guitar,neck joint or heel,neck joint 
are violins a single size,no,no 
how much is the average income of an african woman compared to a european man,african women earns 065  0718   4667 of a european man earns in average,sea otters enhydra lutris live along the pacific coast of north america 
about how many koreans speakers are there,78 million korean speakers,78 million 
did fillmore form a law partnership before or after he founded the private university of buffalo,before,yes 
who referred to the cello as ï½basso de viola da braccio,monteverdi referred to the cello as basso de viola da braccio,monteverdi 
which county was lincoln born in,southeast hardin county kentucky,jakarta 
does a trumpet have a mellower tone than a cornet,no,no 
how many years ago did african people spread across 31 francophone african countries can speak french either as a first or second language,2 years ago,over two hundred 
where is henri becquerel from,paris,paris 
which guitars use three singlecoil pickups,fender stratocaster type guitars,physisist 
do linguists consider malay to be a single language,no,yes 
is the violin cello a bowed string instrument,yes,yes 
what does a polar bears fur provide,it provides the animal with effective camouflage,a polar bears skin 
what was the name of james watts mother,agnes muirhead,sea otters have the two sides of the body 
how do turtles reproduce,they lay eggs,they are food to beetles 
what are the two main varieties of indian flutes,the first the bansuri the second the venu or pullanguzhal,the government of the sitting president taylor 
what was the largest ever chelonian,archelon ischyros,the leopards ecological role 
who were the orkhon inscriptions built for,for the prince kul tigin and his brother emperor bilge khan,the government seeks to increase its gdp contribution to 3 by 2012 
what carried with it a tacit recognition of qatars status as distinct from bahrain,the british protectorate per colonel lewis pelly asking to negotiate with a representative from qatar after bahrains violation of the 1820 anglobahraini treaty,the federalist party 
is swahili spoken in mozambique,yes swahili is spoken in parts of northern mozambique,yes 
does beijing mean northern capital,yes,yes 
how many species of true eels are there,approximately 800 species,78 million 
was wilson president of the american political science association in 1910,yes,yes 
what family is malay a member of,austronesian,brass tubing bent twice into an oblong shape 
