Question,Answer,Predictive Answer
name four related articles for the article on turtles,triassic ernst haeckel kunstformen der natur animal,triassic ernst haeckel kunstformen der natur animal 
what is the remarkable millard fillmore,in 2007 george pendle wrote the remarkable millard fillmore a fake biography based on real events that happened in fillmores life,in 2007 george pendle twenties canadas national unemployment rate 
what greek mythical creatures were depicted holding cymbals,fauns and satyrs,hihats crash splash ride will china walking 
what is a hybrid animal resulting from a union between a leopard and a puma,a pumapard,a polar bears fur provides camouflage fred 
when was the 7th symphony premiered,1942,park 
where is jakarta located,northwest coast of java,on the northwest coast of java 
does the charge reside on the interior of a charged conductor,no,no 
is the gdp  per capita in lima  7600    ref,yes,yes 
when was volta made a count by napoleon,volta was made a count by napoleon in 1810,volta was made a count by napoleon in 1810 
james watt was born where,greenock a seaport on the firth of clyde,is 
was charlesaugustin de coulomb a member of the national institute,yes,yes 
what is canadas national unemployment rate,while as of october 2007 canadas national unemployment rate of 59 is its lowest in 33 years provincial unemployment rates vary from a low of 36 in alberta to a high of 146 in newfoundland and labrador,while as of october 2007 canadas national unemployment rate of 59 is its lowest in 33 years provincial unemployment war woodlands 
is an otter s den called a holt,yes,led waterresistant weights dominance 
has tusklessness become a rare abnormality,no tusklessness has become a widespread hereditary trait,no tusklessness has become a widespread hereditary trait 
had he smoked only sporadically,yes,wilson fathered 
did john adams get along with alexander hamilton,no,no 
what is panda diplomacy,loans of giant pandas to american and japanese zoos,loans of anticommunist air purges 
where was the largest elephant ever recorded shot,the largest elephant ever recorded was shot in angola in 1956,angola 
is copenhagen completely surrounded with water,no,no 
what areas can giraffes inhabit,inhabit savannas grasslands or open woodlands,savannas grasslands or open woodlands 
are a wolfs teeth its main weapons,yes,yes 
is egypt the most populated country in africa,no,no 
what is avogadro most noted for,contributions to the theory of molarity and molecular weight,honey 
how much weight do female polar bears gain during pregnancy,they gain double their weight,they do not have wings 
how did civil wars affect england during the middle ages,london remained relatively untouched,is 
what universities are in education city,carnegie mellon university georgetown university school of foreign service texas am university virginia commonwealth university and cornell university,jakarta lies on a plain eight meters approximately eight meters above the sea level 
what fraternity was coolidge a member of,phi gamma delta,brass tubing bent twice into an oblong shape 
is there a thriving industry in the collection of beetle specimens for amateur and professional collectors,yes,yes 
have many european languages borrowed numerous words from it,yes,adjacent mud sand michelangelo partido 
what is the second biggest factor affecting the sound produced by a drum,tension,the tension at which the drum head is held against the shell of the drum 
who was first apprenticed to a fuller to learn the clothmaking trade,millard fillmore,millard fillmore 
what is a roo,a kangaroo,a flutes volume can be increased by making its resonator and tone holes larger 
the savings and loans bank was founded as was the first cottonweaving mill in what year,1861,1868 
what are the oldest known musical instruments,a three holedflute made from a mammoth tusk and two flutes made from swans bones,a threeholed flute made from a mammoth tusk and two long made from a mammoth tusk and two flutes made from swans bones are among the oldest known musical instruments 
are gray wolves native to north america,no current theory suggests that its from eurasia,no 
what was the dead or alive 4 fighting arena modeled after,a magnetic accelerator cannon station from halo 2,a polar bears skin 
when did the catholic university of eastern africa which obtain its letter of interim authority,in 1989,in 1989 
why are otters vulnerable to prey depletion,preydependency,preydependence 
what happens if a wing is removed,if a ring is removed the other three will grow to a larger size,automobiles that renders express service on some major roads of the lima metropolitan area 
did he become professor of experimental physics at the university of pavia,yes,alessandro volta was a professor at the university of turin 
what is the citys population,16 million,16 million 
what would a tiger do when seized by a crocodile,strike at the reptiles eyes with its paws,a tiger will strike at the reptiles eyes with its paws 
what used singapore as a strategic trading post along the spice route,british,british east india company 
has an octopus a hard beak with its mouth at the center point of the arms,yes,adjacent mud sand michelangelo partido 
what is tobogganing,tobogganing is when penguins slide on their bellies across the snow,when they are born with brown rather than black plumage 
was cleveland s portrait on the us  1000 bill from 1928 to 1946,yes,yes 
did volta marry before he became professor of experimental physics at the university of pavia,no,alessandro volta was a professor at the university of turin 
are penguins birds,yes,yes 
what insulate it against the cold,its think blubber and fur,its tongue 
what is now part of adams national historical park,john adams birthplace,john adams water married air abigail wilson smith 
when becquerel discovered radioactivity whose work did he investigate,wilhelm conrad röntgen,wilhelm conrad röntgen 
in what year were the games of the xv olympiad held,1952,is 
when did protouralic language arrive in finland,protouralic language arrived in finland around 1900 bce,around 1900 bce 
are penguins at risk,yes,yes 
which russian army general conquered finland in 1809,alexander i,park 
becquerel wrapped a fluorescent substance in what,photographic plates and black material,is 
where did tesla study electrical engineering,the austrian polytechnic in graz,the austrian polytechnic in graz 
what arrived in britain,the first canadian army units in ww ii,the first electrochemical cell 
what is monroes fathers name,spence monroe,spence monroe proclaimed 
was newton admitted into havard college,no,maybe but it doesnt say so in the water they are tiger 
did wilson not spend 1914 through the beginning of 1917 trying to keep america out of the war in europe,yes,after birth 
are ducks in the arctic northern hemisphere migratory,some are,some are 
are many beetles territorial,yes,yes 
what is the population of the city of antwerp,antwerps population is 472071,antwerp is in belgium 
what is the color of the australian black swan,completely black except for the white feathers on its wings,hamsa smithsonian hansa 
how does the government of the peoples republic of china often refer to all divisions of the sinitic languages besides standard mandarin,the prc commonly refers to all divisons of the sinitic languages beside standard mandarin as fangyan or regional tongues,the government seeks water adjacent xylophone germany divided into four 
is the violin shaped like an hourglass,yes,adjacent dates 433 conserves energy 
did singapores standard of living decrease since independence,no,no 
was alessandro volta a professor of chemistry,no,no 
is jakarta the 12th largest city in the world,yes,three 
where is qatars telecommunication system centered,doha,doha 
the xylophone is an instrument from what family,percussion,the percussion family 
is the tiger a member of the felidar family,no,no 
is uruguay a member of the cairns group of exporters of agricultural products,yes,yes 
james watts improvements of what were fundamental to the changes wrought by the industrial revolution,the steam engine,the revolution caused coulomb to resign his appointment as intendent des eaux et fontains and retire 
what is the basic word order in malay,subject verb object,subject object verb 
are among his most famous works the protocubist les demoiselles davignon 1907 and guernica 1937 his portrayal of the german bombing of guernica during the spanish civil war,yes,yes 
is catalan the only  official  language  of andorra,yes,yes 
how many regions is ghana divided into,10,fortyone 
what is the faraday effect,the faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an external magnetic field aligned in the direction the light is moving,the faraday effect is the phenomenon that the plane of polarisation of linearly polarised light can be rotated by the application of an exernal magnetic can hide flee quickly expel 
why are upright pianos more compact,upright pianos are more compact because the frame and strings are vertical,is 
what is the official language of liechtenstein,german,german 
does a violin have four strings,yes,yes 
what city in the uk has been subjected to bouts of terrorism,london has been subjected to bouts of terrorism,london 
was thedore roosevelt  a member of the republican party,yes,yes 
is the aburukuwa a type of drum,yes,yes 
what was made in russias largest foundry,thousands of sculptures and statues,thousands of years 
where did watt attend university,watt did not attend school regularly,watt did not attend school regularly 
what religions are found in uruguay,roman catholic protestant jewish and nonprofessing,roman catholic protestant jewish 
what did james monroe do before being elected governor,he practiced law,he invented a new method of measuring distances by telescope a device of air ensuring buoyancy on a plain eight meters approximately the sea level 
is romania a secular state,yes,yes 
is jakarta the countrys economic cultural and political center,yes,yes 
had fords wife married before,yes,allowing kl grand prix csi 1832 years 117 ursidae 
when did watt retire,in 1800,watt retired in 1800 
today are there more cell phone subscriptions than people in finland,yes,around 1900 bce waterresistant metropolitan 1504 species 
was monroe anticlerical,no,no 
was faraday considered a gentleman,no,no 
why did lincoln issue the emancipation proclamation,to free slaves,to free slaves 
is an asian elephant smaller than an african elephant,yes,adjacent mud sand michelangelo partido 
when were the great sphinx and the pyramids of giza built,during the old kingdom,during the old kingdom 
what makes it more difficult for a diving duck to fly,they are heavier,they are food to beetles have darker furs 
did grant  perkins not sell harnesses  saddles  and other leather goods and purchase hides from farmers in the prosperous galena area,they did,they do not break 
how many living species of african elephants are there,2,13 
is the lyre a stringed musical instrument,yes,yes 
has sang nila utama visited singapore,yes,adjacent highly michelangelo adjacent religious unorthodox michelangelo adjacent sudan octopus has a hard beak paintings catalog as a token of his loyalty 
what makes san francisco among the topten north american destinations for conventions and conferences,a large hotel infrastructure and a worldclass convention facility in the moscone center,a polar bears skin 
what was the nickname of theodore roosevelts sister anna,bamie,bamie as a child and bye as an adult 
how does swedish language counterbalance the absence of cases,the lack of cases in swedish is compensated by a wide variety of prepositions,the government seeks 
what body of water lies to the south of finland,the gulf of finland,the gulf of water supply 
the trumpet can be confused with what close relative,the coronet,the most extensively celebrated holiday head air against shell 
what trumpet was the first to be allowed in the christian church,slide trumpets,slide trumpets were the first trumpets allowed pullanguzhal bust and moving quickly avogadro water 5 head air 1846 
his passion been always the study of what,electricity,is 
which type of beetle is a pest of potato plants,colorado potato beetle,colorado potato beetle 
is the most important river the ciliwung river,yes,antwerp is in belgium 
does romania border hungary,yes,yes 
why did bequerel win the nobel prize in physics,was the discoverer of radioactivity,was held in cologne java 
was charlesaugustin de coulomb ever employed at la rochelle,yes upon his return to france with the rank of captain he was employed at la rochelle,yes 
is turtle soup considered a delicacy,no,adjacent plenty celsius 1814 wilson us 
whad did celsius report in his paper observations of two persistent degrees on a thermometer,the freezing point is independent of latitude,the government seeks 
who features violinist boyd tinsley,dave matthews band features violinist boyd tinsley,michael faraday 
is matti vanhanen the prime minister of finland,yes,229 
why is the giant otter becoming increasingly rare,poaching habitat loss and toxins in gold mining,poaching habitat loss and the use of mercury in illegal alluvial gold mining 
which two sports events did the olympiastadion host,the olympiastadion hosted the 1936 summer olympics and the 2006 fifa world cup final,the city and was the discoverer 
what happened in 1811,monroe returned to the virginia house of delegates and was elected to another term as governor of virginia,monroe war allowed adjacent mirror smithsonian strong steam engine spaces words able adjacent play twelve pitches adjacent music pitches smithsonian adjacent javanese pitches 
was paul jackson pollock an influential american painter as well as a major figure in the abstract expressionist movement,yes pollock was an influential american painter and a major figure in the abstract expressionist movement,yes pollock was an influential american painter and a major figure in the abstract expressionist movement 
was adams the first to introduce a bicameral legislature,yes,yes 
was charlesaugustin de coulomb a spanish biologist,no he was a french physicist,no he was english 
is avogadro s  number commonly used to compute  the results  of chemical reactions,yes,yes 
what two instruments form the modern drum kit,the cymbals and the drum,the leopards ecological role 
are elephants the largest land animals alive today,yes,yes 
when did the soviet military forces occupy estonia,in 1944,1944 
what did alessandro volta invent in 1800,in 1800 alessandro volta invented the voltaic pile,voltaic pile 
how many living species of african elephants are there,the african elephant genus contains two or arguably three living species,13 
what was one of the results of the introduction of the new turkish alphabet,a dramatic increase in literacy from third world levels,a polar bears fur when they reach sexual maturity 
are cubs born in december without awakening the mother,yes,yes 
who spend half of their life on land and half in the oceans,penguins,penguins 
what do fossil and dna evidence tell us,the polar bear diverged from the brown bear about 200 thousand years ago,the old english word swan derived from the indoeuropean root swen meaning to sound or mirror anticommunist air black butterfly moth mean that adjacent sticks someone 
is it also possible that penguin comes from the latin pinguis  fat,yes,yes 
was he professor at uppsala university,yes,yes 
in what country did fox hunting originate,the united kingdom,the united kingdom 
in turkish which syllable usually has the stress,stress is usually on the last syllable,is 
is the famous dragon gate at the entrance to the district at the corner of grant and bush street,yes,yes 
what is ottawas junior ice hockey team,the ottawa 67s,the ottawa senators 
was qatar university founded in 1973,yes,yes 
do carrion beetles eat dung,no,no 
what have clash cymbals traditionally been accompanied by,the bass drum playing an identical part,the federalist party 
what is the earliest extant transverse flute,chi,chi 
what is the national language of singapore,the national language of singapore is malay,the federalist party 
what is the official language of romania,romanian,romanian 
how many species of true eels are there,there are approximately 800 species of true eels,13 
based on the average in what year will the next small tremor occur in ottawa,2009,is 
how do rock and roll drummers like their drumheads,drums that sound loud and deep,is 
who created monas park,general herman willem deandels,john adams water married air abigail wilson smith 
who founded montevideo,the spanish,the spanish established a fort at golden jubilee long centuires dirt dense waterresistant layer felicita 
do mikrolets travel on the main roads,no,no 
what happened in 1785,coulomb presented his three reports on electricity and magnetism,coulomb presented his three reports on public instruction 
does a classical lyre have a hollow body,yes,yes 
what are the patterns of vowel harmony,vowels are characterised by two features frontback and roundedunrounded,pleurodira 
what percentage of the population dont speak english or french at home,15,28 
are there at least two films describing tesla s life,yes,yes 
are ants used in cuisine,yes,yes 
how do otters keep themselves warm without blubber,a layer of air trapped in their fur,is 
is the flute a musical instrument,yes,yes 
what is the mrt,one of three heavy rail passenger transport lines in singapore,one of three heavy rail passenger transport lines in singapore 
is it not also one of the two official languages of the yanbian korean autonomous prefecture in china,yes,yes 
what are prey of various animals including birds and mammals,beetles,beetles 
which type of beetle is a pest of potato plants,colorado potato beetle,colorado potato beetle of faraday war 
are kangaroos and wallabies adept swimmers,yes,yes 
where does the word violin come from,the middle latin word vitula meaning stringed instrument,italy 
what is largest polar bear on record,2200 lb,a polar bears skin 
what happened in 1833,blah blah blah,blah blah blah 
can speakers of modern malay understand old malay,no,three 
where do giant pandas live,a few mountain ranges in central china,sea otters have some 200000 hairs per square cm of skin he might have discussed his religious beliefs 
who helped to fund roosevelts african safari,financed by andrew carnegie and his own proposed writings,park 
do ducks forage underwater,yes,diving ducks and sea ducks forage underwater 
what happened in 1980s,the use of traditional nonsynthesized orchestras declined,the use of mercury in illegal alluvial gold mining 
does san francisco have a high percentage of gay and lesbian individuals,yes,yes 
do scutes fall away from the turtles shell,yes eventually,adjacent lives michelangelo actually damper waterresistant walking water educated damper waterresistant adjacent pedal smithsonian same michelangelo adjacent stadtschloss 
what economic uses to ducks have,they are farmed for their meat eggs and feathers they are also kept and bred by aviculturists and often displayed in zoos,they are farmed for meat eggs and feathers 
how long does it take for the panda cubs skin to turn gray,one to two weeks,one to two weeks after birth 
why did grant say damn i had nothing to do with this batte,it went well,it was designed to gain land open to slavery 
who was on the committee with adams to draft  a declaration of independence,thomas jefferson benjamin franklin robert r livingston and roger sherman,thomas jefferson benjamin franklin waterresistant air naming as labrador smithsonian tusklessness 
what land animal is larger than an elephant,none the elephant is the largest land animal,none the elephant water ever 
was his father   henri  coulomb  inspector of the royal  fields  in montpellier,yes,yes 
did eucalypt forests grow in the place of rainforests,yes the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests,yes the si unit of charge the coulomb was named after him 
is the spelling of turkish phonetic,yes turkish now has an alphabet suited to the sounds of the language the spelling is largely phonetic with one letter corresponding to each phoneme,xindian rivers 36 
was alessandro volta taught in public schools,volta was taught in public schools,volta was taught in public schools 
what position is used to play the cello,seated,a polar bears 36 
where do joeys complete postnatal development,a pouch called a marsupium,is 
did the modern hihat evolve from clash cymbals,yes,yes 
what is surplus killing,the killing of several prey animals too numerous to eat at one sitting,the killing of several prey animals too numerous to eat at one sitting 
did mainland nova scotia not come under british rule with the treaty of utrecht,no,no 
he published a collection of what,observations,chinese 
he founded the private university of buffalo on what date,1846,1846 
where is the park of the reserve located,near the downtown area,in paris 
is golden gate park the largest city park,yes,yes 
how many countries in europe are bigger than romania,eleven,eleven 
which guitars use three singlecoil pickups,fender statocaster type guitars,park 
for how long was ford a member of the house of representatives,ford served for over eight years as the republican minority leader of the united states house of representatives,is 
what is the national currency of liechtenstein,swiss franc,swiss franc 
was adams an opponent of the stamp act,yes,yes 
what did cleveland die from,a heart attack,a heart attack 
when does a flute produce sound,when a stream of air directed across a hole in the instrument creates a vibration of air at the hole,when a stream adjacent of air directed across a hole in the instrument creates a vibration of air at the hole 
when becquerel discovered radioactivity whose work did he investigate,wilhelm conrad rãntgen,wilhelm conrad rãntgen 
which ballet by pyotr tchaikovsky is partially based on an ancient german legend about a princess who was turned into a swan,swan lake,air while as governor of virginia 
why polar bear is a special species,the world conservation union listed polar bears as a vulnerable species one of three subcategories of threatened status in may 2006 their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced,is 
is the national university of san marcos in lima,yes,reserve adams water married air abigail wilson smith doctrine declaring john smithsonian opposition 
what became one of the most important commercial and military centres of the british empire,singapore,singapore 
what have become flippers useless for flight in the air,penguins wings,voltaic pile 
was ford active about vietnamese affairs,no,yes 
is foie gras often made from ducks,yes,yes 
do wolves leave their pack,they leave their birth pack when they reach sexual maturity,they do 
how many arms does an octopus have,the octopus has four pairs of arms,none antwerp smithsonian municipality twenties college air ill health wilson adjacent clash cymbals 
what is the largest country in the world,russia,tiger lion and jaguar 
are immature sea turtles not cared for by the adults,yes,yes 
wasnt malay language written using pallava,yes,battle trenton twenties air his 
what does the word ghana mean,warrior king,to defend against predators 
what expression is part of a conceptual framework for testing computer systems,quacks like a duck,quacks like a commission of air ensuring avogadro individuals any 50 
were trumpet players heavily guarded,yes,children which 
what is one of the challenges of reestablishing a population of eurasian otters in the uk,roadkill deaths,roadkill deaths have become 
is berlin the largest city in germany,yes,berlin is germanys largest city 
how long was lincolns legal career,23 years,23 years 
how many people use the bus network daily,more than 278 million people,278 million people 
during his lifetime did pollock enjoy considerable fame and notoriety,yes,adjacent christianity scale reversed college adjacent january scale 15 1882 renoir met 
the collective noun romp is sometimes used for a group of what,otters,is 
how long have people been making instruments like violins,since 1555,since ancient times 
what are the elephants ears important for,temperature regulation,honey 
does qatar rank as the eighth richest country in the world per capita,no,no 
was the luther bible by martin luther printed,yes,yes 
where was celsius born,uppsala sweden,at woolsthorpe manor in woosthorpebycolsterworth 
when did islam become the dominant religion in java and sumatra,the end of the 16th century,by the end of the 16th century 
what are young swans known as,cygnets,best experimentalist in the history of science faraday discovered diamagnetism 
was the xylophone associated with the folk music of the united states by the 19th century,no,no 
is the red river delta traditionally poor,not compared to nghe an ha tinh or quang binh,not compared to nghe an ha tinh or hansa 
how do eels begin life,eels begin life as flat and transparent larvae called leptocephali,as flat and transparent larvae called leptocephali 
what is temperature would water have to be to be halfway between its standard boiling and freezing point,50,air 
the spanish crown named pizarro governor of what,hemming,is 
is liechtenstein heavily urbanized,no,no 
where is the leopard distributed,southern eurasia and africa from korea to south africa and spain,southern eurasia and africa 
what is tobogganing,when penguins slide on their bellies across the snow,when they are food to beetles 
what musical styles is the trumpet used in,ska ska punk classical jazz rock blues pop polka cuban music mariachi and funk,1906 and 1908 
does an ants head contain sensory organs,yes,yes 
was calvin coolidge born in plymouth windsor county vermont,yes,yes 
where was volta born,como,at woolsthorpe manor in woosthorpebycolsterworth 
how are new words formed in malay,affixation composition and reduplication,four 
are swans and ducks birds of the same family,yes,yes 
why did coolidge not attend law school,it was too expensive,is 
did ford get an award called congressmans congressman,no,war george pendle form wrote remarkable 
what is responsible for converting the hydrogen byproduct of fermentation into acetate,the digestive system of a kangaroo,the largest primarily frenchspeaking city in the western kingdom 
have adverbs of time to appear in the third place in the sentence  just after the predicate,yes,yes 
is it true that each penguin gets a turn in the center,yes,yes 
when is the first record of s08_settlement in singapore,second century ad,1959 
what are the names of the two zoos in berlin,the two zoos in berlin are the zoologischer garten berlin and the tierpark friedrichsfelde,zoologischer smithsonian hind feet and retire 
when did lombardy come under napoleons rule,from 1796 to 1815,from g3 to c8 
how much time to penguins spend on land,they spend half of their life on land,half of their life 
where do bees live,in colonies,in 1451 berlin gave up its status as a free hanseatic 
what do beetles eat,some are generalists eating both plants and animals other beetles are highly specialised in their diet,they often feed wilson adjacent their fur densely will oranges smithsonian bananas henri 
as a celebrator of beauty and especially feminine sensuality has it been said that renoir is the final representative of a tradition which runs directly from rubens to watteau,yes,christianity of 36 
when did classical chinese literature begin,classical chinese literature began in the spring and autumn period,classical chinese literature began in the 14th to 11th centuires bce 
where is the berliner dom located,on the spree island,on the shoulder 
why may english translation of koreans adjectives misleadingly suggest that they are verbs,english does not have an identical grammatical category,is 
who was blaise pascals father,ãtienne pascal,his father died in 1651 
from what type of cymbals can a expert player obtain an enormous dynamic range,crash cymbals,crash splash ride will china walking 
does the united states have a base near glasgow,yes,yes 
where is jakarta located,on the northwest coast of java,on the northwest coast of java 
what do river otters eat,river otters eat a variety of fish and shellfish as well as small land mammals and birds,a variety of fish and shellfish as well as small land mammals and birds 
as a boy did he work in a porcelain factory where his drawing talents led to him being chosen to paint designs on fine china,yes,is 
what is the primary domestic source of water supply,the primary domestic source of water supply in singapore is rainfall,the leopards ecological role 
what is jakarta,indonesias special capital region,daerah khusus ibukota jakarta 
how many species of penguins are there,penguin biodiversity varies between 17 and 20 living species all in the subfamily spheniscinae,13 
can the title of this famous 1811 paper be roughly translated into english,yes,yes 
is canadas official language zulu,no,no 
do male giraffes weigh more than female giraffes,yes,adjacent christianity scale reversed college adjacent january scale 15 1882 renoir cover 
did abraham lincoln live in the frontier,yes,yes 
did becquerel study science at the école des ponts et chaussées,yes,yes 
does it snow in ottawa,yes,yes 
arent drums often used in music therapy,yes drums are often used in music therapy,is 
what happened to copenhagen between 1251 and 1255,a bunch of things,a flute player a flautist or a flutist 
is it true that it angered many residents of the thirteen colonies,yes,yes 
are tortoises land based,yes,yes 
did henri becquerel intentionally discover radioactivity,no,he discovered it accidentally 
was ford released from the hospital,yes,yes 
was grant elected president as a republican,yes,yes 
are tigers solitary animals,yes,yes 
for how many years of james watts life was his mother alive,17 years,is 
how long was kuala lumpur occupied by the japanese,42 months,is 
where was isaac newton born,woolsthorpe manor in woolsthorpebycolsterworth,at woolsthorpe manor in woosthorpebycolsterworth 
how did the supporters of henry clay feel about fillmore in 1848,angry,park 
was volta made a count in 1810,yes,yes 
are cougars larger than jaguars,cougars are not larger than jaguars,cougars are not larger than jaguars 
was dizzy gillespie a famous trumpeter in 1998,no,no 
what is the polish word for swan,åabädåº,hamsa or hansa 
what is one of the challenges of reestablishing a population of eurasian otters in the uk,roadkill deaths have become one of the significant threats to the success of their reestablishment,roadkill deaths have become 
where was henri becquerel born,paris,paris 
was lombardy under napoleons rule in 1800,yes,yes 
do swans feature strongly in mythology,yes,yes 
did faraday marry sarah barnard,yes,yes faraday married sarah barnard 
how heavy was the largest polar bear on record,1002 kg 2200 lb,is 
who shares credit with isaac newton for developing calculus,gottfried leibniz,newton saw god 
wasnt blaise pascal a work of desargues on conic sections,yes it was,it is not larger than jaguars 
did lincoln beat john c breckinridge in the 1860 election,yes,yes 
how much of the population is of white european descent,88,approximately 88 of its population are of prevalently white european descent 
whats the timber of ancient cimbals like disfluent,like that of small handbells or of the notes of the keyed harmonica,park 
when did a standard and common language become available to all swedes,in the 20th century,in the smithsonian museum 
how did early naturalists distinguish between leopards and panthers,by the length of their tails,is 
what is cello an abbreviation of,violoncello,brass 
when was charlesaugustin de coulomb permanently stationed in paris,charlesaugustin de coulomb was permanently stationed in paris in 1781,charlesaugustin de coulomb died in paris 
does uruguay recognize samesex civil unions,yes,yes 
are the korean names for the language based on the names for korea used in north as well as south korea,yes,yes 
was wilson a member of the phi kappa psi fraternity,yes,totallyt 
james watt ranked first among how many people in charles murrays survey of historiometry,229,229 
the number of elementary entities in 1 mole of a substance is known as what,avogadros constant,is 
which is the busiest airport in berlin,tegel international airport is the busiest airport in berlin,is 
where was grant born,a log cabin in point pleasant clermont county ohio,a log cabin in summerhill new york 
is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 2,yes,yes 
was the leopard tank a german designed tank which entered service in 1965,yes,yes 
are there several types of trumpet,yes,yes 
is liechtenstein bordered by switzerland,yes,yes 
is the the biggest university in jakarta the university of indonesia,yes,stretches 
how to travel to work from the city to moscow,one way is through the moscowsaint petersburg railway,is 
what is the caridoid escape reaction,swimming backwards quickly by curling and uncurling their abdomen,when lobsters swim backwards quickly by curling and uncurling their abdomen 
by 2050 what will the total population of portuguese speakers in the world be,by 2050 portuguesespeaking countries will have a total population of 335 million people,by opening and closing holes larger than the cheetah 
was isaac newton educated at the kings schol grantham,yes,yes 
is the smallest penguin species the little blue penguin lrb also known as the fairy penguin rrb  which stands around 40 cm tall lrb 16 in rrb and weighs 1 kg lrb 22 lb rrb,yes,yes 
is uruguay located in the northwesten part of africa,no,no 
is nassau sound a body of water in maine,no,no 
what did anders celsius determine about the boiling of water,he determined the dependence of the boiling of water with atmospheric pressure,dependence with atmospheric pressure 
is uruguay the smallest soverign nation in south america,no,its think blubber of his loyalty 
do otters live in water,yes,march 1861 1814 arabic liturgical language 
does the gray wolf share an ancestry with the domestic dog,yes,yes 
are turtles pets,yes,yes 
what religion do most uruguayans profess,none,roman catholic 
why is vattenfall shifting towards reliance on cleaner renewable energy sources,because burning lignite produces harmful emissions,because they are responsible for much earthquake activity 
how many korean speakers are there,there are about 78 million korean speakers,13 
how many swedish speakers were reported in canada in 2001,there are 16915 reported swedish speakers in canada,16915 
does the state court rule on the conformity of laws,yes,yes 
was alessandro volta an egyptian,no,no 
how many domestic tourists visit melbourne,76 million,76 million domestic visitors 
what are the similarities between beetles and grasshoppers,mouthparts,beetles have mouthparts similar to those of grasshoppers 
what exception to the rules of vowel harmony do compound words have,in compound words the vowels need not harmonize between the constituent words of the compound,in gamelan ensembles 
what happened in 1917,raised billions through liberty loans imposed an income tax s08_set up the war industries board promoted labor union growth supervised agriculture and food production through the lever act took over control of the railroads and suppressed antiwar movements,canada was formed as a federal semiautonomous polity 
what led pascal to his religious conversion,two basic influences led him to his conversion sickness and jansenism,two long tours 
what prompted the city to upgrade its building codes,the threat of major earthquakes,earthquakes 
does indonesia have the worlds hightest level of biodiversity,no,no 
has another us president been an eagle scout,no,wilson fathered 
what universities are in education city,carnegie mellon university georgetown university school of foreign service texas am university virginia commonwealth university and cornell universitys weill medical college,jakarta lies on a plain eight meters approximately eight meters above the sea level 
what is the earliest date of the trumpet,1500 bc,1500 bc 
would it be common for tigers to mate in january,yes,wilson cook naturalist sir adjacent joseph michelangelo banks michelangelo eleven smithsonian way eleven 
does melbourne have a large international student community,yes,yes 
what order do penguins belong to,sphenisciformes,to nathaniel and phoebe millard fillmore 
is it true that romania has a population of 21698181,yes,yes 
who constructed a kit using diatonic and chromatically tuned drums,terry bozzio,terry long and gansu provinces 
what languages has malay borrowed words from,sanskrit arabic and english,lacquered bamboo 
who made volta a count,napoleon,napoleon 
what is the battery made by volta credited to be,the first cell,the first electrochemical cell 
was newton admitted into havard college,maybe but it doesnt say so in the article,maybe but it further stated the united states venezuela and the amazon it is not clear 
what is ottawas population,1190982,1190982 
did canadian soldiers win the battle of vimy ridge in 1917,no it did not,no it is not even known 
are panthers a type of tiger,no,no 
is the standard of living in san franciscio high,yes san francisco is characterized by a high standard of living,yes san is characterized by a high standard of living 
what do zebras eat,mainly grass,they often feed on plants and fungi break down animal and plant debris and eat other invertebrates 
is an acoustic guitar dependent on an external device,no,no 
whose ideas inspired charlesaugustin de coulombs experiments on the resistance of masonries,he carried out several experiments on the resistance of masonries which were inspired by the ideas of pieter van musschenbroek on friction,is 
did pierreauguste renoir die in limoges hautevienne france the child of a working class family,no,no 
who was kwame nkrumah,founder and first president of the modern ghanaian state,founder and first president 
did singapores standard of living decrease since independence,no the standard living was raised,no 
what are the two main groups of portuguese dialects,the two main groups of dialects are brazil and the old world,the two main groups of dialects are brazil and the old world 
was charlesaugustin de coulomb ever employed at la rochelle,yes,yes 
how do eels begin life,as flat and transparent larvae called leptocephali,as flat and transparent larvae called leptocephali 
did the department of the interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements,yes,adjacent mud sand michelangelo partido 
are the javanese the largest and politically dominant ethnic group in indonesia,yes,yes 
do male giraffes weigh more than female giraffes,yes,adjacent lives michelangelo actually damper waterresistant walking 
was vietnamese formally written using the chinese writing system,yes vietnamese was formerly written using the chinese writing system,yes vietnamese was formerly written using the chinese writing system 
what was ottawas name in 1850,bytown,bytown 
is it true that the ideas of the enlightenment shaped the development of the city,yes,1847 
is the mechanism in an upright piano perpendicular to its keys,yes,the mechanism in upright pianos is perpendicular to the keys between rivers and smaller islands 
who was the general in charge at the battle of antietam,general mcclellan,john lubbok 
what company administers leichtensteins railways,austrian federal railways,austrian federal railways 
what is the second main orchestral use of cymbals,the suspended cymbal is the second main orchestral use of symbals,the suspended cymbal 
what is the mean level of mercury in american lobsters,031 ppm,christian 
